Title,affliation_country
Identifying nursing research priorities in Vietnam: A modified delphi study†,Thailand
Evaluation of the sciatic nerve location regarding its relationship to the piriformis muscle,Thailand
Breast conserving surgery versus modified radical mastectomy,Thailand
Clinical outcomes and surgical preferences for breast-conserving surgery and mastectomy: A propensity score-matched analysis,Thailand
Common orthopedic problems in the neonate: A comparative study of 2 periods at a tertiary-care hospital,Thailand
Conservative surgical management for immediate postpartum hemorrhage,Thailand
Distinguishing magnetic resonance imaging features between idiopathic hypertrophic pachymeningitis and secondary hypertrophic pachymeningitis,Thailand
Transcriptome analysis of Pueraria candollei var. mirifica for gene discovery in the biosyntheses of isoflavones and miroestrol,Thailand
Performance of a Monofiber Optical Probe in Determining the Droplet Size and Velocity in Spray Systems Compared with a High-Speed Camera,Thailand
Hybrid Monitoring of Surface Roughness and Straightness in CNC Turning of Aluminium using Neural Networks Approach,Thailand
Bacterial community structures and biodegradation kinetic of Tiamulin antibiotic degrading enriched consortia from swine wastewater,Thailand
"Impact of faculty development programme on self-efficacy, competency and attitude towards medical education in Bhutan: A mixed-methods study",Bhutan
Formalizing railway network using hierarchical timed coloured petri nets,Thailand
Extracting structured data from unstructured text using conditional random field and jaccard similarity,Thailand
Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Armenia
Biologics for chronic rhinosinusitis,United Kingdom
Pathways to parental anxiety: Effect of coping strategies for disruptive behaviors in children with attention deficit-hyperactivity disorder,Thailand
A need for screening and early diagnosis of breast cancer,Thailand
Changes in protein patterns of Staphylococcus aureus and Escherichia coli by silver nanoparticles capped with poly (4-styrenesulfonic acid-co-maleic acid) polymer,Thailand
Survival outcomes of low-risk and intermediate-risk stage ib1 cervical cancer patients,Thailand
A somatic pik3ca p.h1047l mutation in a Thai patient with isolated macrodactyly: A case report,Thailand
Chronic abdominal pain in children: The importance of endoscopy,Thailand
Binder-free centimeter-long V2O5nanofibers on carbon cloth as cathode material for zinc-ion batteries,Thailand
"A double masked randomised 4-week, placebo-controlled study in the USA, Thailand and Taiwan to compare the efficacy of oral valganciclovir and topical 2% ganciclovir in the treatment of cytomegalovirus anterior uveitis: Study protocol",United States
Probing the chiral magnetic wave in pPb and PbPb collisions at √SNN = 5.02 TeV using charge-dependent azimuthal anisotropies,Armenia
Asiaticoside but not its aglycone exhibits neuritogenicity through TrkA receptor signaling: A bridge between ERK1/2-CREB and Akt-GSK3β/RhoA,Thailand
Application of pivoting adversarial networks in search for four top quark production in CMS,Thailand
A free solution to the Dirac equation in R-spacetime,Thailand
Effects of few optical cycles approximation to spectral broadening generated in two-zero dispersion wavelengths fibers,Thailand
Phase transitions in the frustrated antiferromagnetic XY model on the triangular lattice,Thailand
Charged fermion in two-dimensional curved spaces of constant Gaussian curvature with constant magnetic flux,Thailand
Comparison of electron temperature in DC glow discharge and AC glow discharge plasma,Thailand
An array of coupled nonlinear oscillators as a model for amplitude variations in intermodulation distortions from the auditory system,Thailand
Effect of formamidinium cation on electronic structure of formamidinium lead iodide,Thailand
Effects of anti-solvent in the two-step fabrication of absorber layer in perovskite solar cells,Thailand
Simulation of phase-ordering dynamics of 2d Ising model under influence of oscillatory shear,Thailand
Extracting overlapping 2D-images by central-derivatives-based algorithm,Thailand
Effects of surface diffusion length on steady-state persistence probabilities,Thailand
Performance of cytokine models in predicting SLE activity,Thailand
Availability of emergency obstetric and newborn care services at public health facilities of Sindh province in Pakistan,Pakistan
"The impact of National Health Insurance upon accessibility of health services and financial protection from catastrophic health expenditure: A case study of Savannakhet province, the Lao People's Democratic Republic",Thailand
PTM-Logo: A program for generation of sequence logos based on position-specific background amino-acid probabilities,Thailand
Up-to-date review on the development of high performance rubber composites based on halloysite nanotube,Thailand
Reduced Time to Suppression among Neonates with HIV Initiating Antiretroviral Therapy Within 7 Days after Birth,Spain
Dual Analysis of Loss to Follow-up for Perinatally HIV-Infected Adolescents Receiving Combination Antiretroviral Therapy in Asia,Australia
More than hemifacial spasm? A case of unilateral facial spasms with systematic review of red flags,Thailand
"Health risk assessment of airborne Cd, Cu, Ni and Pb for electronic waste dismantling workers in Buriram Province, Thailand",Thailand
Cultivation of microalgae Chlorella sp. in municipal sewage for biofuel production and utilization of biochar derived from residue for the conversion of hematite iron ore (Fe2O3) to iron (Fe) – Integrated algal biorefinery,Thailand
Ordered mesoporous Ni/La2O3 catalysts with interfacial synergism towards CO2 activation in dry reforming of methane,China
Heterogeneous structural defects to prompt charge shuttle in g-C3N4 plane for boosting visible-light photocatalytic activity,China
Deactivation of the preferential oxidation of CO in packed bed reactor by 3D modelling and near-infrared tomography,United Kingdom
Towards a Great Design of Conceptual Modelling,Japan
Water Quality Index Analysis and Prediction: A Case Study of Canals in Bangkok Thailand,Thailand
Prediction of User's Special Feelings Toward Photos Based on Behaviors of Taking and Editing Photos,Thailand
"A SPA-Based Semantic Computing System for Global & Environmental Analysis and Visualization with ""5-Dimensional World-Map"": ""towards Environmental Artificial Intelligence",Japan
"Design and Synthesis of Piperazine-Linked Imidazo[1,2-a]pyridine Derivatives as Potent Anticancer Agents",India
"Ceropegia chuakulii sp. Nov. (Asclepiadoideae, Apocynaceae) from eastern Thailand",Thailand
Search for Physics beyond the Standard Model in Events with Overlapping Photons and Jets,Armenia
Evolutionary Engineering of Cyanobacteria to Enhance the Production of α-Farnesene from CO2,South Korea
Innovative Approach to Enhance the Methane Hydrate Formation at Near-Ambient Temperature and Moderate Pressure for Gas Storage Applications,Thailand
Carbon Dioxide Adsorption on Grafted Nanofibrous Adsorbents Functionalized Using Different Amines,Thailand
Phase Behavior and Superionic Transport Characteristics of (MxRb1- x)3H(SeO4)2 (M = K or Cs) Solid Solutions,China
Pseudorapidity distributions of charged hadrons in xenon-xenon collisions at sNN=5.44 TeV,Armenia
Identification of software problem report types using multiclass classification,Thailand
Non-functional requirement patterns for agile software development,Thailand
