Title,affliation_country
Public health and international epidemiology for radiology,Thailand
Flexible Printed Active Antenna for Digital Television Reception,Thailand
Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,Thailand
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Thailand
Electrochemical impedance-based DNA sensor using pyrrolidinyl peptide nucleic acids for tuberculosis detection,Thailand
Evaluation of outsourcing transportation contract using simulation and design of experiment Ocena kontraktów outsourcingowych w transporcie z wykorzystaniem symulacji i projektu eksperymentu,Thailand
The phenotypic and mutational spectrum of Thai female patients with ornithine transcarbamylase deficiency,Thailand
External beam radiotherapy in the treatment of painful bone metastases,United States
Predicting judicial decisions of criminal cases from Thai supreme court using bi-directional gru with attention mechanism,Thailand
   ,Thailand
Effect of Zr addition on the microstructure and tribological property of the anodization of Ti-6Al-4V alloy,China
Applying Text Mining for Classifying Disease from Symptoms,Thailand
Classification of advertisement text on Facebook using synthetic minority over-sampling technique,Thailand
Detecting Radio AGN Signatures in Red Geysers,United States
Organic agriculture education in Thai Universities: National trends and student perceptions,Thailand
"A new species of Ceropegia (Asclepiadoideae, Apocynaceae) from eastern Thailand",Thailand
Observation of Weakened V-V Dimers in the Monoclinic Metallic Phase of Strained VO2,United Kingdom
Heterostructured d-Ti 3 C 2 /TiO 2/ g-C 3 N 4 Nanocomposites with Enhanced Visible-Light Photocatalytic Hydrogen Production Activity,China
Performance comparison of different cavitation reactors for biodiesel production via transesterification of palm oil,Thailand
"The dynamic linkage among the size, growth and profitability of listed companies in the ASEAN-4 countries",Thailand
Different natures of sub-gap states in 135-CIGS/112-CIGS and 112-CIGS/135-CIGS heterostructures investigated by photoluminescence technique,Thailand
Optical properties of CsI:Tl crystals grown using different precursors purities,Thailand
CIGS thin film solar cells with graded-band gap fabricated by CIS/CGS bilayer and CGS/CIS/CGS trilayer systems,Thailand
Machine Learning system mimicking student's choice in Particle Data Analysis laboratory activity,Thailand
Effects of global and local rewiring on SIS epidemic adaptive networks,Thailand
Glucose sensing characterization of non-enzymatic nickel film and nickel foam electrodes in sodium hydroxide solution,Thailand
Shielding the Earth Magnetic Field using Spherical Coils,Thailand
EMF Shielding of One Set of Circular Coils with Slight Distortion,Thailand
Evaluation of Thai students and teacher's attitudes in physics using Colorado Learning Attitudes about Science Survey (CLASS),Thailand
Cosmic-Ray Muons Detection by a Spark Chamber,Thailand
3D Information Retrieving of Concealing Surface beneath Opaque Resin Layer by Fast-Fourier Low Coherence Interferometer,Thailand
Mass-radius bounds in massive gravity models,Thailand
Identification of Pinocembrin as an Anti-Glycation Agent and α-Glucosidase Inhibitor from Fingerroot (Boesenbergia rotunda): The tentative structure–activity relationship towards Mg-trapping activity,Thailand
Graceful exit for the cosmological constant damping scenario,Thailand
Structural and transport phenomena of urocanate-based proton carrier in sulfonated poly(ether ether ketone) membrane composite,Thailand
Simulation of control characteristics of liquid column vibration absorber using a quasi-elliptic flow path estimation method,Thailand
"Corrigendum to “Effects of salt on the LLE and tie-line data for furfuryl alcohol - n-butanol-water at T = 298.15 K” [J. Mol. Liq. 218 (2016) 50–58] (Effects of salt on the LLE and tie-line data for furfuryl alcohol — n-butanol–water at T=298.15K (2016) 218 (50–58), (S0167732215309028) (10.1016/j.molliq.2016.02.027))",Thailand
Bacillus sp. strain M10 as a potential biocontrol agent protecting chili pepper and tomato fruits from anthracnose disease caused by Colletotrichum capsici,Thailand
Finding impact factors for rejection of pull requests on GitHub,Thailand
Performance analysis of machine learning techniques in intrusion detection,Thailand
Observation of Medium-Induced Modifications of Jet Fragmentation in Pb-Pb Collisions at sNN =5.02 TeV Using Isolated Photon-Tagged Jets,Armenia
The ideal commensurate value of Sc and the superconducting phase under high pressure,Thailand
A mini review on antidiabetic properties of fermented foods,Thailand
Search for Leptoquarks Coupled to Third-Generation Quarks in Proton-Proton Collisions at s =13 TeV,Armenia
WS2 and C-TiO2 Nanorods Acting as Effective Charge Separators on g-C3N4 to Boost Visible-Light Activated Hydrogen Production from Seawater,China
Physics-based motion capture imitation with deep reinforcement learning,United States
Design of output feedback nonlinear model predictive control for inverted pendulum on cART,Thailand
Explicit Formula for Conditional Expectations of Product of Polynomial and Exponential Function of Affine Transform of Extended Cox-Ingersoll-Ross Process,Thailand
Two Properties of Pseudo-Polynomials over a Galois Field,Thailand
Basic fibroblast growth factor regulates phosphate/pyrophosphate regulatory genes in stem cells isolated from human exfoliated deciduous teeth,Thailand
Deep learning using risk-reward function for stock market prediction,Thailand
Chest X-ray analysis of tuberculosis by convolutional neural networks with affine transforms,Thailand
Creative industries policy in Thailand: A story of rise and demise,Thailand
Effect of modified Khon dance performance on functional fitness in older Thai persons,Thailand
Social return on investment for community-based alcohol consumption control program during Buddhist Lent,Thailand
"Medication adherence and associated factors among elderly hypertension patients with uncontrolled blood pressure in rural area, Northeast Thailand",Thailand
The effects of toothpaste amounts and post-brushing rinsing methods on salivary fluoride retention,Thailand
Complete genomic sequences of highly pathogenic H5N1 avian influenza viruses obtained directly from human autopsy specimens,Thailand
Downstream components of the calmodulin signaling pathway in the rice salt stress response revealed by transcriptome profiling and target identification,Thailand
"Deep multispectral painting reproduction via multi-layer, custom-ink printing",United States
Carbonized briquettes as a tool for adding value to waste from rain tree (Samanea saman) and coffee ground/tea waste,Thailand
Periodic-review policy for a 2-Echelon inventory problem with seasonal demand,Thailand
