Title,ref_count,Author_count,Subject_area_count,Unique_affiliations_count,Open_access,subtype,Cite_count
Reduction of algal wall-growth biofilm for the cultivation of Chlorococcum in photobioreactors using commercial surfactants and floating plastic media,44,3,4,2,0,ar,1
Dietary anthocyanins inhibit insulin fibril formation and cytotoxicity in 3T3-L1 preadipocytes,39,7,3,3,0,ar,2
Metformin delivery via iontophoresis based on κ-carrageenan cryogels,51,6,3,3,0,ar,5
Experimental investigations of CO2 absorption and catalyst-aided CO2 desorption performance of several different amines blending with a promoter,50,5,3,2,0,ar,7
High-throughput screening of highly active and selective single-atom catalysts for ammonia synthesis on WB2 (0 0 1) surface,65,6,3,2,0,ar,1
Electrodeposition of the manganese-doped nickel-phosphorus catalyst with enhanced hydrogen evolution reaction activity and durability,55,6,4,5,0,ar,1
Novel strategy in biohydrogen energy production from COVID - 19 plastic waste: A critical review,141,6,4,6,1,ar,13
Recent progress of electrocatalysts for hydrogen proton exchange membrane fuel cells,172,4,4,2,0,ar,13
A Review of Packed Bed Reactor and Gradient-less Recycle Reactor for Determination of Intrinsic Reaction Kinetics,110,6,1,3,1,re,0
In the name of national security Thailand and the securitisation of the Rohingya,23,1,1,1,0,ch,0
Herbal medicinal compounds and their anti-breast cancer actions: A mechanistic perspective,167,8,2,5,0,ch,0
Immunogenicity of SARS-CoV-2 vaccines in patients with multiple myeloma: a systematic review and meta-analysis,54,23,1,12,1,re,4
"Evolutionary and Genetic Recombination Analyses of Coxsackievirus A6 Variants Associated with Hand, Foot, and Mouth Disease Outbreaks in Thailand between 2019 and 2022",,8,2,3,1,ar,1
Designing a Built-In Electric Field for Efficient Energy Electrocatalysis,217,8,3,2,0,re,25
"A pathway phenotype linking metabolic, immune, oxidative, and opioid pathways with comorbid depression, atherosclerosis, and unstable angina",97,5,2,5,0,ar,7
Curcuminoid supplementation in canine diabetic mellitus and its complications using proteomic analysis,60,9,1,3,1,ar,1
ONLINE VIDEO GAME INFLUENCER'S CREDIBILITY AND PURCHASE INTENTION Vjerodostojnost online influencera videoigara i namjera kupnje,56,2,2,1,1,ar,1
"Boys for beauty (1999): Participatory mode, camp aesthetic, bentu discourse",,1,1,1,,ch,0
"Sending Money Back Home: Banking Digitalization, Myanmar Migrant Workers, and the Thailand-Myanmar Border Trade",53,1,3,1,,ar,1
