Title,ref_count,Author_count,Subject_area_count,Unique_affiliations_count,Open_access,subtype,Cite_count
Role of interventional procedures in channelopathies catheter ablation and sympathectomy,45,2,1,3,0,ch,0
Democratic Lagrangians for Nonlinear Electrodynamics,58,3,1,5,1,ar,9
Ontogeny and morphological diversity in immature mites (Part V) (Table of contents),,3,2,3,1,ar,0
Ontogeny and morphological diversity in immature mites (Part V) (Title page),,3,2,3,1,ar,4
Improved Development Cycle for 8-bit FPGA-Based Soft-Macros Targeting Complex Algorithms,63,2,1,1,1,ar,0
Dolutegravir as First- or Second-Line Treatment for HIV-1 Infection in Children,26,45,1,24,1,ar,41
Does proactive logistics management enhance business management? Czy proaktywne zarządzanie logistyką wzmacnia zarządzanie biznesem?,44,6,3,4,1,ar,0
Hedging stocks in crises and market downturns with gold and bonds: Industry analysis,24,1,3,1,1,ar,3
One-Step Hydrothermal Synthesis of Precious Metal-Doped Titanium Dioxide–Graphene Oxide Composites for Photocatalytic Conversion of CO2 to Ethanol,56,8,2,3,1,ar,8
Impact of the polar optical phonon and alloy scattering on the charge-carrier mobilities of FA0.83Cs0.17Pb(I1−xBrx)3hybrid perovskites,60,3,2,3,0,ar,1
Search for Long-Lived Particles Decaying in the CMS End Cap Muon Detectors in Proton-Proton Collisions at s =13 TeV,63,2361,1,273,1,ar,14
"Will There Ever Be Cure for Chronic, Life-Changing Colistin-Resistant Klebsiella pneumoniae in Urinary Tract Infection?",59,7,1,9,1,ar,3
"Bacterial diversity and potential risk factors associated with Salmonella contamination of seafood products sold in retail markets in Bangkok, Thailand",62,2,3,2,1,ar,6
Global Perspectives on Immunization Against SARS-CoV-2 During Pregnancy and Priorities for Future Research: An International Consensus Paper From the World Association of Infectious Diseases and Immunological Disorders,95,15,2,20,1,re,9
In Silico Elucidation of Potent Inhibitors and Rational Drug Design against SARS-CoV-2 Papain-like Protease,58,5,3,3,2,ar,11
Nutritional assessment in the HIV-infected older population receiving antiretroviral therapy,,2,1,1,0,re,0
Reducing Heat Duty of MEA Regeneration Using a Sulfonic Acid-Functionalized Mesoporous MCM-41 Catalyst,54,8,3,2,0,ar,11
Lactide Lactone Chain Shuttling Copolymerization Mediated by an Aminobisphenolate Supported Aluminum Complex and Al(O iPr)3: Access to New Polylactide Based Block Copolymers,26,9,4,2,0,ar,8
Deep Learning Enables Prostate MRI Segmentation: A Large Cohort Evaluation With Inter-Rater Variability Analysis,25,8,2,6,1,ar,4
The Expansion of Lignocellulose Biomass Conversion Into Bioenergy via Nanobiotechnology,70,7,5,6,1,re,10
Occupational exposure to hazards and volatile organic compounds in small-scale plastic recycling plants in Thailand by integrating risk and life cycle assessment concepts,58,6,4,3,0,ar,5
"Organic carbon stock and composition in 3.5-m core mangrove soils (Trat, Thailand)",60,12,4,6,1,ar,8
Shared metabolic and neuroimmune mechanisms underlying Type 2 Diabetes Mellitus and Major Depressive Disorder,190,6,2,9,0,re,17
Translational evidence for the Inflammatory Response System (IRS)/Compensatory Immune Response System (CIRS) and neuroprogression theory of major depression,113,3,2,5,0,re,19
The Development of Architectural Education in Thailand under the ASEAN Community,16,5,7,2,,ar,0
Liver- and Spleen-Specific Immune Responses in Experimental Leishmania martiniquensis Infection in BALB/c Mice,53,8,1,4,1,ar,1
Intermittent Fasting and Obesity-Related Health Outcomes: An Umbrella Review of Meta-analyses of Randomized Clinical Trials,35,9,1,8,1,ar,68
Tropical Pacific Forcing of Hydroclimate in the Source Area of the Yellow River,78,9,2,6,0,le,6
Determination of Kinetic Parameters for CO2 Methanation (Sabatier Reaction) over Ni/ZrO2 at a Stoichiometric Feed-Gas Composition under Elevated Pressure,50,10,3,4,0,ar,10
Brief Report: HCV Universal Test-and-Treat With Direct Acting Antivirals for Prisoners With or Without HIV: A Prison Health Care Workers-Led Model for HCV Microelimination in Thailand,18,9,2,4,1,ar,2
Pressure-induced isostructural clustering and semiconductor-to-semimetal transition in 2H-W(Se1−xTex)2 solid solutions: A first-principles investigation,57,1,2,1,0,ar,2
3D structural model and visualization of blood vessels based on L-system,32,2,1,1,1,ar,0
Injectable eggshell-derived hydroxyapatite-incorporated fibroin-alginate composite hydrogel for bone tissue engineering,85,6,3,3,0,ar,16
Enhancement of large ring cyclodextrin production using pretreated starch by glycogen debranching enzyme from Corynebacterium glutamicum,38,7,3,1,0,ar,6
Molecular insights into complex formation between scandenin and various types of β-cyclodextrin,65,6,6,3,0,ar,0
In-situ chemical modification of printed conducting polymer films for specific glucose biosensing,62,5,7,4,0,ar,2
Fouling mitigation in an anaerobic membrane bioreactor via membrane surface modification with tannic acid and copper,38,5,3,2,0,ar,11
Sintering behavior and mechanical properties of hydroxyapatite ceramics prepared from Nile Tilapia (Oreochromis niloticus) bone and commercial powder for biomedical applications,58,13,5,7,0,ar,8
Toward sustainable stormwater management: Understanding public appreciation and recognition of urban Low Impact Development (LID) in the San Francisco Bay Area,47,2,3,3,0,ar,26
Online and offline preconcentration techniques on paper-based analytical devices for ultrasensitive chemical and biochemical analysis: A review,96,3,4,1,0,re,16
Strongly coupled tungsten oxide/carbide heterogeneous hybrid for ultrastable aqueous rocking‐chair zinc-ion batteries,75,10,4,5,0,ar,29
Detection and identification of a fish pathogen Flavobacterium columnare using specific monoclonal antibodies,35,7,1,2,0,ar,8
Supporting Clean Energy in the ASEAN: Policy Opportunities from Sustainable Aviation Fuels Initiatives in Indonesia and Malaysia,18,10,2,9,1,cp,1
Lipid nanoparticles enhance the efficacy of mRNA and protein subunit vaccines by inducing robust T follicular helper cell and humoral responses,86,32,3,7,1,ar,145
Reliability Quantification of Railway Electrification Mast Structure Considering Buckling,43,3,3,3,1,ar,0
"Sprout Caffeoylquinic Acid Profiles as Affected by Variety, Cooking, and Storage",59,4,3,1,1,ar,0
Engineering of Battery Type Electrodes for High Performance Lithium Ion Hybrid Supercapacitors,188,6,2,4,0,re,5
Incorporation of diethyl ether production to existing bioethanol process: Techno-economic analysis,48,4,5,1,0,ar,3
Raman spectroscopy investigation of a manganese oxide layer caused by water corrosion on an IrMn thin film,18,7,4,3,0,ar,1
"DEVELOPMENT OF A DISASTER RISK PROFILE IN THE PUBLIC HEALTHCARE SYSTEM DURING FLOOD SITUATION: A CASE STUDY OF NAKHON SAWAN CITY MUNICIPALITY, NAKHON SAWAN PROVINCE, THAILAND",14,3,9,1,1,cp,0
The crest injection technique for glabellar line correction and the paracentral artery,8,3,1,2,1,ar,3
Molecularly imprinted polymers for the extraction and determination of water-soluble vitamins: A review from 2001 to 2020,138,2,4,2,0,re,4
Prevalence of pre-sarcopenia among postmenopausal women younger than 65 years,28,6,1,3,0,ar,1
Core slide defect reduction of PVC tape by Six Sigma approach,15,2,4,2,0,cp,0
"Immunogenicity, safety and reactogenicity of a heterogeneous booster following the CoronaVac inactivated SARS-CoV-2 vaccine in patients with SLE: A case series",5,6,3,2,1,ar,10
A comparison of students’ competencies of thai and international documents,26,2,1,2,1,ar,0
Development and testing of a metacognition scale using computer multimedia for nursing students: An application of multidimensional item response theory,24,3,1,1,1,ar,0
“Macbeth Effect”: The link between physical cleanliness and moral judgement,40,4,1,2,1,ar,1
Social returns on investment for doctor of philosophy program in educational measurement and evaluation,18,3,1,1,1,ar,1
Development of a process to change teachers’ misconceptions in using portfolio for elementary school student assessment,37,2,1,2,1,ar,0
“Everyone else does it”: Influence of colleagues’ cheating and psychological mechanisms on individuals’ cheating in an organization,39,3,1,1,1,ar,0
Vascularized Toe Joint Transfer for Hypoplastic Thumb Type IV,10,3,2,2,0,ar,0
"Identification of Key Genes in ‘Luang Pratahn’, Thai Salt-Tolerant Rice, Based on Time-Course Data and Weighted Co-expression Networks",112,7,1,3,1,ar,2
Patient perception and treatment convenience of dabigatran versus vitamin K antagonist when used for stroke prophylaxis in atrial fibrillation: Real-world Evaluation of Long-term Anticoagulant Treatment Experience (RE-LATE) study,34,9,1,11,1,ar,0
Modeling the determinants of English writing perfor-mance: Directions to interdisciplinary writing instruction,39,1,3,1,0,ar,0
"Clinical outcomes of pediatric COVID-19 in a tertiary care center in Bangkok, Thailand",11,6,3,4,1,ar,5
Genetic correlations between gestation length and litter traits of sows,23,2,1,1,,ar,1
Calcinosis circumscripta associated with surgical site of the right femur in a Belgian sheepdog: Imaging diagnosis and surgical treatment,17,4,1,2,,ar,0
"Potential risk factors for Brachyspira hyodysenteriae, Lawsonia intracellularis and Salmonella spp. infection and their prevalence in commercial swine farms in Thailand",28,7,1,3,,ar,0
Evaluation of the hematological and serum protein profiles of blood parasite coinfection in naturally infected dogs,31,3,1,1,,ar,2
Successful treatment of demodicosis due to Demodex cati in a cat using spot - On formulation of fluralaner,12,2,1,1,,ar,0
A seroepidemiological investigation on major viral and bacterial pathogens in small-scale chicken flocks in the Mekong delta region of Vietnam,10,13,1,5,,ar,0
Cardiovascular Risk and Health Among People With Human Immunodeficiency Virus (HIV) Eligible for Primary Prevention: Insights From the REPRIEVE Trial,31,21,2,13,1,ar,12
"Taxonomic Status of Fowlea tytleri (Blyth, 1863) from the Andaman Islands",26,3,4,3,,ar,2
"Nesting Ecology and Reproducing Females of the Snail-eating Turtle, Malayemys macrocephala, in Paddy Fields in Central Plain of Thailand",35,3,4,1,,ar,0
Environmental DNA signatures distinguish between tsunami and storm deposition in overwash sand,73,11,2,9,1,ar,8
Production of oil with increasing palmitoleic acid content by Cyberlindnera subsufficiens NG8.2 from oil palm empty fruit bunch via co-fermentation with cassava starch,40,2,1,1,0,ar,1
The origins of the Cold War in Southeast Asia: Pre-Second World War Siamese cooperation with foreign powers against communism,16,2,3,1,0,ar,0
Development of multiplex reverse transcription-polymerase chain reaction for differentiation of strains of infectious bursal disease virus and primary screening of the virus in Thailand,15,1,1,1,1,ar,1
Validation of Brix refractometer to estimate immunoglobulin G concentration in goat colostrum,24,5,1,2,1,ar,2
Deep margin elevation with resin composite and resin-modified glass-ionomer on marginal sealing of CAD-CAM ceramic inlays: An in vitro study,38,2,1,1,,ar,2
What is the best systemic treatment for newly diagnosed inflammatory breast cancer?-a narrative review,38,3,1,2,1,re,2
FOURTH-ORDER STRAIN GRADIENT BAR-SUBSTRATE MODEL WITH NONLOCAL AND SURFACE EFFECTS FOR THE ANALYSIS OF NANOWIRES EMBEDDED IN SUBSTRATE MEDIA,64,6,5,4,1,ar,12
"Barriers and Challenges in Managing Hypertension in Belitung, Indonesia: A Qualitative Study",58,6,3,2,1,ar,1
Changes in Choroidal Vascularity Index (CVI) in Intermediate Uveitis,33,5,2,3,1,ar,7
Spiritual Care Needs of Terminal Ill Cancer Patients,23,3,4,3,1,ar,4
Effects of Complementary and Alternative Medicine on Chemotherapy Delivery in Thai Patients,26,6,4,2,1,ar,0
Measurement of the inclusive and differential t t¯ γ cross sections in the single-lepton channel and EFT interpretation at √s = 13 TeV,103,2361,1,271,1,ar,3
Probing effective field theory operators in the associated production of top quarks with a Z boson in multilepton final states at √s = 13 TeV,87,2358,1,272,1,ar,5
Erectile dysfunction among Thai patients with COVID-19 infection,33,5,2,1,1,ar,8
Therapeutic vaccine BRII-179 restores HBV-specific immune responses in patients with chronic HBV in a phase Ib/IIa study,22,25,4,16,1,ar,21
Research priorities for an HIV cure: International AIDS Society Global Scientific Strategy 2021,155,70,1,63,1,re,96
"Investigation of sulfonated solid acid catalysts derived from oil palm kernel shell, corncob, and diatomaceous earth for esterification of ethanol and propanoic acid, characterisation and their performance",50,5,4,2,0,ar,5
Chloride-induced corrosion of a galvanized steel-embedded calcium sulfoaluminate stucco system,57,4,5,2,0,ar,10
Quality Assessment of Mobile Cone-beam Computerized Tomography Scanner Made in Thailand: A Phantom Study,14,4,1,2,0,ar,0
Chemotherapy-Related Cerebral Venous Sinus Thrombosis in a Colon Cancer Patient Receiving Adjuvant Chemotherapy: Case Report and Literature Review,19,3,1,1,0,ar,0
Healthcare Resource Utilization and Healthcare Costs of COVID-19 Patients in A Tertiary Care Public Hospital: A Retrospective Cohort Study in Thailand,9,5,1,4,0,ar,1
Risk of HIV/STIs among Muslim army conscripts in the three deep southern provinces of Thailand,37,3,3,1,1,ar,2
The analgesic efficacy of anterior femoral cutaneous nerve block in combination with femoral triangle block in total knee arthroplasty: a randomized controlled trial,30,6,1,2,1,ar,3
The effects of active break and postural shift interventions on recovery from and recurrence of neck and low back pain in office workers: A 3-arm cluster-randomized controlled trial,47,3,1,2,0,ar,4
Global guideline for the diagnosis and management of the endemic mycoses: an initiative of the European Confederation of Medical Mycology in cooperation with the International Society for Human and Animal Mycology,73,39,1,48,2,re,55
Myositis Caused by Trachipleistophora hominis in a Person with Human Immunodeficiency Virus: The First Case in Thailand,19,5,2,4,1,ar,3
Mass Atrocities and Their Prevention,353,2,1,3,2,ar,6
"Inventory of Agroecological Practices as part of the ""Peasant to Peasant"" Methodology in Ceará: An instrument to decolonize a territory and (re)value peasant knowledge Inventário de Práticas Agroecológicas na Metodologia ""de Camponês/a a Camponês/a"" no Ceará: Um instrumento para descolonizar o território e (re)valorizar o conhecimento camponês",49,4,2,6,1,ar,2
Profiling the most elderly parkinson's disease patients: Does age or disease duration matter?,102,3,1,2,1,ar,3
Social principles of emancipatory agroecologies Principios sociales de las agroecologías emancipadoras,68,2,2,5,1,ar,4
"Agroecology and La Vía Campesina I. The symbolic and material construction of agroecology through ""peasant-to-peasant"" processes Agroecología y La Vía Campesina I. La construcción simbólica y material de la agroecología a través de los procesos de ""campesina(o) a campesina(o)""",116,5,2,6,1,ar,2
Bringing agroecology to scale: Key drivers and emblematic cases Ampliação da agroecologia: Principais impulsores e casos emblemáticos Masificación de la agroecología: Impulsores clave y casos emblemáticos,105,8,2,5,1,ar,0
Culicoides Latreille (Diptera: Ceratopogonidae) as potential vectors for Leishmania martiniquensis and Trypanosoma sp. in northern Thailand,57,7,2,4,1,ar,15
"Caffeine induces g0/g1 cell cycle arrest and inhibits migration through Integrin αv, β3, and FAK/AKT/c-MYC signaling pathway",73,5,7,5,1,ar,4
Zero Budget Natural Farming in India - From inception to institutionalization Agricultura natural de presupuesto cero en India - Desde su inicio hasta su institucionalización,56,2,2,4,1,ar,1
Agroecology and La Vía Campesina II. Peasant agroecology schools and the formation of a sociohistorical and political subject Agroecología y La Vía Campesina II. Las escuelas campesinas de agroecología y la formación de un sujeto sociohistórico y politico,69,4,2,5,1,ar,1
Horizontal and deep scaling of agroecology: Lessons from two organizations that defend seed sovereignty in Colombia Escalamiento horizontal y profundo de la agroecología: Lecciones de dos organizaciones defensoras de la soberanía de semillas en Colombia,63,5,2,5,1,ar,0
4-Hyperclique Decompositions of 3-Hyperdistance Multihypergraphs of Multipartite Graphs,10,2,1,1,,ar,0
"Diversity, antimicrobial activity, and susceptibility of culturable soil actinobacteria isolated from Sichang Island",31,4,1,3,1,ar,2
"Petrogenesis of mafic-ultramafic and associated rocks along Sa Kaeo and Pattani Sutures, Thailand",36,5,1,1,1,ar,0
Measurement of the top quark mass using events with a single reconstructed top quark in pp collisions at √s = 13 TeV,95,2371,1,269,1,ar,3
Oxyresveratrol and its synthetic derivatives on the stimulation of glucose uptake in skeletal muscle cells and the activation of AMPK,28,6,1,4,1,ar,1
