Title,Author_count,Open_access,Unique_affiliations_count,cite_count
Role of interventional procedures in channelopathies catheter ablation and sympathectomy,2,0,3,0
Democratic Lagrangians for Nonlinear Electrodynamics,3,1,5,9
Ontogeny and morphological diversity in immature mites (Part V) (Table of contents),3,1,3,0
Ontogeny and morphological diversity in immature mites (Part V) (Title page),3,1,3,4
Improved Development Cycle for 8-bit FPGA-Based Soft-Macros Targeting Complex Algorithms,2,1,1,0
Dolutegravir as First- or Second-Line Treatment for HIV-1 Infection in Children,45,1,24,41
Does proactive logistics management enhance business management? Czy proaktywne zarządzanie logistyką wzmacnia zarządzanie biznesem?,6,1,4,0
Hedging stocks in crises and market downturns with gold and bonds: Industry analysis,1,1,1,3
One-Step Hydrothermal Synthesis of Precious Metal-Doped Titanium Dioxide–Graphene Oxide Composites for Photocatalytic Conversion of CO2 to Ethanol,8,1,3,8
Impact of the polar optical phonon and alloy scattering on the charge-carrier mobilities of FA0.83Cs0.17Pb(I1−xBrx)3hybrid perovskites,3,0,3,1
Search for Long-Lived Particles Decaying in the CMS End Cap Muon Detectors in Proton-Proton Collisions at s =13 TeV,2361,1,273,14
"Will There Ever Be Cure for Chronic, Life-Changing Colistin-Resistant Klebsiella pneumoniae in Urinary Tract Infection?",7,1,9,3
"Bacterial diversity and potential risk factors associated with Salmonella contamination of seafood products sold in retail markets in Bangkok, Thailand",2,1,2,6
Global Perspectives on Immunization Against SARS-CoV-2 During Pregnancy and Priorities for Future Research: An International Consensus Paper From the World Association of Infectious Diseases and Immunological Disorders,15,1,20,9
In Silico Elucidation of Potent Inhibitors and Rational Drug Design against SARS-CoV-2 Papain-like Protease,5,2,3,11
Nutritional assessment in the HIV-infected older population receiving antiretroviral therapy,2,0,1,0
Reducing Heat Duty of MEA Regeneration Using a Sulfonic Acid-Functionalized Mesoporous MCM-41 Catalyst,8,0,2,11
Lactide Lactone Chain Shuttling Copolymerization Mediated by an Aminobisphenolate Supported Aluminum Complex and Al(O iPr)3: Access to New Polylactide Based Block Copolymers,9,0,2,8
Deep Learning Enables Prostate MRI Segmentation: A Large Cohort Evaluation With Inter-Rater Variability Analysis,8,1,6,4
The Expansion of Lignocellulose Biomass Conversion Into Bioenergy via Nanobiotechnology,7,1,6,10
Occupational exposure to hazards and volatile organic compounds in small-scale plastic recycling plants in Thailand by integrating risk and life cycle assessment concepts,6,0,3,5
"Organic carbon stock and composition in 3.5-m core mangrove soils (Trat, Thailand)",12,1,6,8
