Title,cover_date,authkey_word
Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,2018-12-31,"Circulating fluidized bed, Computational fluid dynamics, Multiphase flow models, Riser, Sorption enhanced steam methane reforming"
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,2018-12-31,"Encapsulation, Fluoroalkylsilane, Natural rubber, Oil/water separation superhydrophobic/superoleophilic mesh"
Electrochemical impedance-based DNA sensor using pyrrolidinyl peptide nucleic acids for tuberculosis detection,2018-12-31,"acpcPNA, Electrochemical impedance spectroscopy, Mycobacterium tuberculosis, Paper-based electrochemical DNA biosensor"
Evaluation of outsourcing transportation contract using simulation and design of experiment Ocena kontraktów outsourcingowych w transporcie z wykorzystaniem symulacji i projektu eksperymentu,2018-12-30,"Design of experiment, Optimal fleet size, Outsourcing, Simulation modelling, Transportation contract, Transportation management, Variation"
The phenotypic and mutational spectrum of Thai female patients with ornithine transcarbamylase deficiency,2018-12-30,"Female, Hyperammonemia, Novel mutations, Ornithine transcarbamylase deficiency, OTC"
Predicting judicial decisions of criminal cases from Thai supreme court using bi-directional gru with attention mechanism,2018-12-27,"Attention mechanism, Bi-directional GRU, criminal law, Deep Learning, predicting judgement, Thai Supreme Court"
Effect of Zr addition on the microstructure and tribological property of the anodization of Ti-6Al-4V alloy,2018-12-25,"Anodization, Ti–Zr alloy, Wear resistance"
Applying Text Mining for Classifying Disease from Symptoms,2018-12-24,"Classification, Data preparation, Disease, ICD-10-CM, Symptom, Text mining"
Classification of advertisement text on Facebook using synthetic minority over-sampling technique,2018-12-21,"AISAS model, Feature selection, SMOTE"
Detecting Radio AGN Signatures in Red Geysers,2018-12-20,"galaxies: evolution, galaxies: formation, galaxies: general"
"A new species of Ceropegia (Asclepiadoideae, Apocynaceae) from eastern Thailand",2018-12-20,"Apocynaceae, Asclepiadoideae, Eastern thailand, Open sandy area"
Heterostructured d-Ti 3 C 2 /TiO 2/ g-C 3 N 4 Nanocomposites with Enhanced Visible-Light Photocatalytic Hydrogen Production Activity,2018-12-20,"2D materials, graphitic carbon nitride, heterostructured composites, hydrogen evolution, photocatalysis"
Performance comparison of different cavitation reactors for biodiesel production via transesterification of palm oil,2018-12-20,"Biodiesel, Cavitation reactor, Homogenizer reactor, Ultrasonic reactor, Yield efficiency"
"The dynamic linkage among the size, growth and profitability of listed companies in the ASEAN-4 countries",2018-12-19,"ASEAN, GMM, Growth, Profitability, Size"
Identification of Pinocembrin as an Anti-Glycation Agent and α-Glucosidase Inhibitor from Fingerroot (Boesenbergia rotunda): The tentative structure–activity relationship towards Mg-trapping activity,2018-12-19,"Advanced glycation end-products, Boesenbergia rotunda, Diabetes, Methylglyoxal, Pinocembrin, Structure-activity relationship, α-glucosidase"
Structural and transport phenomena of urocanate-based proton carrier in sulfonated poly(ether ether ketone) membrane composite,2018-12-15,"fuel cell, molecular dynamics simulations, proton conductivity, sulfonated poly(ether ether ketone) membrane"
Simulation of control characteristics of liquid column vibration absorber using a quasi-elliptic flow path estimation method,2018-12-15,"LCVA, Natural frequency, Panel method, Quasi-elliptic flow path estimation method, TLCD"
Bacillus sp. strain M10 as a potential biocontrol agent protecting chili pepper and tomato fruits from anthracnose disease caused by Colletotrichum capsici,2018-12-15,"Antifungal, Bacillus, Catalase, Chili, Colletotrichum, Tomato"
Finding impact factors for rejection of pull requests on GitHub,2018-12-14,"Ansible, Association rules, Data mining, GitHub, Pull Request"
Performance analysis of machine learning techniques in intrusion detection,2018-12-14,"Classifiers technique, Intrusion Detection System, Machine Learning, NSL-KDD, Performance Analysis, Supervised Learning"
A mini review on antidiabetic properties of fermented foods,2018-12-13,"Alternative medicine, Diabetes, Fermentation, Fermented foods"
WS2 and C-TiO2 Nanorods Acting as Effective Charge Separators on g-C3N4 to Boost Visible-Light Activated Hydrogen Production from Seawater,2018-12-11,"charge separators, g-C3N4 composite, hydrogen, photocatalysis, seawater splitting"
Physics-based motion capture imitation with deep reinforcement learning,2018-12-10,"Character Controller, Deep Learning, Mocap, Neural Network, Simulation"
Design of output feedback nonlinear model predictive control for inverted pendulum on cART,2018-12-10,"Inverted pendulum on cart, Nonlinear model predictive control, Nonlinear systems, Optimal control, State observer"
Basic fibroblast growth factor regulates phosphate/pyrophosphate regulatory genes in stem cells isolated from human exfoliated deciduous teeth,2018-12-10,"Basic fibroblast growth factor, Phosphate, Pyrophosphate, Stem cells isolated from human exfoliated deciduous teeth"
Deep learning using risk-reward function for stock market prediction,2018-12-08,"Convolutional Neural Network, Deep Learning, Event Embedding, Long Short-term Memory, Risk-Reward Function, Stock Market Prediction"
Chest X-ray analysis of tuberculosis by convolutional neural networks with affine transforms,2018-12-08,"Affine Transforms, Computer-Aided Diagnosis, Convolutional Neural Network, Tuberculosis"
Effect of modified Khon dance performance on functional fitness in older Thai persons,2018-12-06,"Functional fitness, Khon exercise, Older persons"
Social return on investment for community-based alcohol consumption control program during Buddhist Lent,2018-12-06,"Alcohol consumption, Buddhist Lent, Community-based program, Social return on investment"
"Medication adherence and associated factors among elderly hypertension patients with uncontrolled blood pressure in rural area, Northeast Thailand",2018-12-06,"Elderly, Hypertension, Medication adherence, Medication management"
The effects of toothpaste amounts and post-brushing rinsing methods on salivary fluoride retention,2018-12-06,"Dental hygiene, Dry brushing, Fluoride retention, Fluoride toothpaste, Mouth rinsing, Pharmacokinetic model"
Downstream components of the calmodulin signaling pathway in the rice salt stress response revealed by transcriptome profiling and target identification,2018-12-05,"Calmodulin, CaM, Rice, Salt stress, Transcriptome"
