Title,cover_date,authkey_word
Improved Development Cycle for 8-bit FPGA-Based Soft-Macros Targeting Complex Algorithms,2021-12-30,"8-bit soft microprocessor, FPGA, PicoBlaze, Software development methods, Verification techniques"
Does proactive logistics management enhance business management? Czy proaktywne zarządzanie logistyką wzmacnia zarządzanie biznesem?,2021-12-30,"Business management, Firm size, Logistics awareness, Logistics management, Logistics strategies"
"Will There Ever Be Cure for Chronic, Life-Changing Colistin-Resistant Klebsiella pneumoniae in Urinary Tract Infection?",2021-12-24,"biofilm infections, chronic infection, chronic urinary infection, colistin-resistant, colistin-resistant Klebsiella pneumoniae, Klebsiella pneumoniae, urinary tract infection"
"Bacterial diversity and potential risk factors associated with Salmonella contamination of seafood products sold in retail markets in Bangkok, Thailand",2021-12-24,"Escherichia coli, Risk factors, Salmonella enterica, Seafood, Vibrio"
Global Perspectives on Immunization Against SARS-CoV-2 During Pregnancy and Priorities for Future Research: An International Consensus Paper From the World Association of Infectious Diseases and Immunological Disorders,2021-12-23,"COVID-19, maternal immunization, maternal vaccination program, pregnant women, SARS-CoV-2"
Nutritional assessment in the HIV-infected older population receiving antiretroviral therapy,2021-12-22,"Aging, Antiretroviral therapy, Complication, HIV, Malnutrition"
Deep Learning Enables Prostate MRI Segmentation: A Large Cohort Evaluation With Inter-Rater Variability Analysis,2021-12-21,"deep attentive neural network, large cohort evaluation, prostate segmentation, qualitative evaluation, quantitative evaluation, volume measurement"
The Expansion of Lignocellulose Biomass Conversion Into Bioenergy via Nanobiotechnology,2021-12-20,"bioconversion, bioenergy, lignocellulose, nanotechnology, pretreatment"
Occupational exposure to hazards and volatile organic compounds in small-scale plastic recycling plants in Thailand by integrating risk and life cycle assessment concepts,2021-12-20,"Health risk assessment, Life cycle assessment, Occupational exposure, Plastic waste recycling, Thailand"
"Organic carbon stock and composition in 3.5-m core mangrove soils (Trat, Thailand)",2021-12-20,"Blue carbon, Carbon pool, Coastal vegetated ecosystem, DOM, Fluorescence, SOM"
Shared metabolic and neuroimmune mechanisms underlying Type 2 Diabetes Mellitus and Major Depressive Disorder,2021-12-20,"Major Depressive Disorder, Pathogenesis, Therapies, Type 2 Diabetes Mellitus"
Translational evidence for the Inflammatory Response System (IRS)/Compensatory Immune Response System (CIRS) and neuroprogression theory of major depression,2021-12-20,"Depression, Immune regulatory, Immune system, Inflammation, Major depressive disorder, Mood disorders, Neuroprogression, Neuroscience, Psychiatry"
The Development of Architectural Education in Thailand under the ASEAN Community,2021-12-18,"Architectural education, ASEAN architects, Free trade for architectural services"
Liver- and Spleen-Specific Immune Responses in Experimental Leishmania martiniquensis Infection in BALB/c Mice,2021-12-17,"BALB/c mouse, hepatic granuloma, IFN-γ, IL-10, iNOS, Leishmania martiniquensis, parasite persistence, TNF-α"
Brief Report: HCV Universal Test-and-Treat With Direct Acting Antivirals for Prisoners With or Without HIV: A Prison Health Care Workers-Led Model for HCV Microelimination in Thailand,2021-12-15,"DAA treatment, HCV, microelimination, prisoners"
3D structural model and visualization of blood vessels based on L-system,2021-12-15,"Arterial branching, Lindenmayer system (L-system), Murray’s law, Structural blood vessel"
Injectable eggshell-derived hydroxyapatite-incorporated fibroin-alginate composite hydrogel for bone tissue engineering,2021-12-15,"Bone tissue engineering, Hydroxyapatite, Silk fibroin"
Enhancement of large ring cyclodextrin production using pretreated starch by glycogen debranching enzyme from Corynebacterium glutamicum,2021-12-15,"Amylomaltase, Glycogen debranching enzyme, Large-ring cyclodextrin, Starch"
Molecular insights into complex formation between scandenin and various types of β-cyclodextrin,2021-12-15,"Cyclodextrin, Inclusion, Molecular dynamics simulation, Scandenin"
In-situ chemical modification of printed conducting polymer films for specific glucose biosensing,2021-12-15,"Acid chloride reaction, Fluorophenylboronic acid, Glucose sensing, Potentiometry, Surface modification"
Fouling mitigation in an anaerobic membrane bioreactor via membrane surface modification with tannic acid and copper,2021-12-15,"AnMBR, Hydrophilicity, Membrane fouling, PVDF, Ultrafiltration"
Sintering behavior and mechanical properties of hydroxyapatite ceramics prepared from Nile Tilapia (Oreochromis niloticus) bone and commercial powder for biomedical applications,2021-12-15,"Biomaterial, Bone engineering, EXAFS, Fish bone, Hydroxyapatite"
Toward sustainable stormwater management: Understanding public appreciation and recognition of urban Low Impact Development (LID) in the San Francisco Bay Area,2021-12-15,"Landscape appreciation, Low impact development (LID), Picturesque aesthetics, San Francisco Bay Area, Stormwater education, Sustainable stormwater management"
Online and offline preconcentration techniques on paper-based analytical devices for ultrasensitive chemical and biochemical analysis: A review,2021-12-15,"Biochemical analysis, Chemical analysis, Ion concentration polarization, Isotachophoresis, Microfluidic paper-based analytical devices, Preconcentration"
Strongly coupled tungsten oxide/carbide heterogeneous hybrid for ultrastable aqueous rocking‐chair zinc-ion batteries,2021-12-15,"Aqueous zinc-ion battery, Intercalated anode, Rocking-chair ZIBs, WO3/WC heterogeneous hybrid"
Detection and identification of a fish pathogen Flavobacterium columnare using specific monoclonal antibodies,2021-12-15,"Columnaris disease, Dot blotting, Immunohistochemistry, Monoclonal antibody, Western blotting"
Lipid nanoparticles enhance the efficacy of mRNA and protein subunit vaccines by inducing robust T follicular helper cell and humoral responses,2021-12-14,"adjuvant, germinal centers, IL-6, influenza virus, lipid nanoparticle, SARS-CoV-2, Tfh cell, vaccine"
Reliability Quantification of Railway Electrification Mast Structure Considering Buckling,2021-12-13,"first order reliability method (FORM), mast structure, overhead line equipment (OHLE), reliability, resilience"
"Sprout Caffeoylquinic Acid Profiles as Affected by Variety, Cooking, and Storage",2021-12-13,"bioactive compounds, caffeoylquinic acids, cooking, low temperature storage, sunflower sprout, variety"
Incorporation of diethyl ether production to existing bioethanol process: Techno-economic analysis,2021-12-10,"Bioethanol, Catalytic dehydration experiment, Diethyl ether, Process simulation, Techno-economic analysis"
Raman spectroscopy investigation of a manganese oxide layer caused by water corrosion on an IrMn thin film,2021-12-09,"Iridium manganese, Manganese oxide, Raman spectroscopy, Thin film"
"DEVELOPMENT OF A DISASTER RISK PROFILE IN THE PUBLIC HEALTHCARE SYSTEM DURING FLOOD SITUATION: A CASE STUDY OF NAKHON SAWAN CITY MUNICIPALITY, NAKHON SAWAN PROVINCE, THAILAND",2021-12-08,"Emergency operation, Flood, Public health, Risk profile, Thailand"
Molecularly imprinted polymers for the extraction and determination of water-soluble vitamins: A review from 2001 to 2020,2021-12-05,"Determination, Extraction, Molecularly imprinted polymer, Sensor, Water-soluble vitamins"
Prevalence of pre-sarcopenia among postmenopausal women younger than 65 years,2021-12-04,"Low muscle mass, Menopause, Muscle strength, Pre-sarcopenia, Sarcopenia"
Core slide defect reduction of PVC tape by Six Sigma approach,2021-12-03,"Core slide defect, Defect reduction, Process improvement, PVC tape, Six Sigma, Telescope of tape"
"Immunogenicity, safety and reactogenicity of a heterogeneous booster following the CoronaVac inactivated SARS-CoV-2 vaccine in patients with SLE: A case series",2021-12-03,"COVID-19, lupus erythematosus, systemic, vaccination"
A comparison of students’ competencies of thai and international documents,2021-12-03,"Comparative study, Competency, Competency-based curriculum, Transversal competencies"
Development and testing of a metacognition scale using computer multimedia for nursing students: An application of multidimensional item response theory,2021-12-03,"Metacognition scale, Multidimensional item response theory, Nursing students"
“Macbeth Effect”: The link between physical cleanliness and moral judgement,2021-12-03,"Macbeth effect, Moral cleansing, Moral judgment, Physical cleansing, Systematic review"
Social returns on investment for doctor of philosophy program in educational measurement and evaluation,2021-12-03,"Financial proxies, Impact mapping, Indicators, Social Returns on Investment (SROI), Theory of change"
Development of a process to change teachers’ misconceptions in using portfolio for elementary school student assessment,2021-12-03,"Elementary school, Misconception, Portfolio"
“Everyone else does it”: Influence of colleagues’ cheating and psychological mechanisms on individuals’ cheating in an organization,2021-12-03,"Buddhism, Cheating, Fear of ostracism, Moral disengagement, “Hiri-Ottappa” or moral shame and moral dread"
Vascularized Toe Joint Transfer for Hypoplastic Thumb Type IV,2021-12-02,"hypoplastic thumb, joint transfer, toe transfer, vascularized"
"Identification of Key Genes in ‘Luang Pratahn’, Thai Salt-Tolerant Rice, Based on Time-Course Data and Weighted Co-expression Networks",2021-12-02,"3' Tag Seq, network-based analysis, salt tolerant rice, time-series data, two-state co-expression network, weighted co-expression network"
Patient perception and treatment convenience of dabigatran versus vitamin K antagonist when used for stroke prophylaxis in atrial fibrillation: Real-world Evaluation of Long-term Anticoagulant Treatment Experience (RE-LATE) study,2021-12-02,"Atrial fibrillation, Health care, Outcome assessment, Stroke"
"Clinical outcomes of pediatric COVID-19 in a tertiary care center in Bangkok, Thailand",2021-12-01,"Children, COVID-19, Favipiravir, Pneumonia, SARS-CoV-2"
Genetic correlations between gestation length and litter traits of sows,2021-12-01,"genetic correlation, gestation length, number of piglets born alive, number of stillborn piglets, total number of piglets born"
Calcinosis circumscripta associated with surgical site of the right femur in a Belgian sheepdog: Imaging diagnosis and surgical treatment,2021-12-01,"Belgian Sheepdog, calcinosis circumscripta, internal implant fixation, radiographic, ultrasonographic"
"Potential risk factors for Brachyspira hyodysenteriae, Lawsonia intracellularis and Salmonella spp. infection and their prevalence in commercial swine farms in Thailand",2021-12-01,"Brachyspira hyodysenteriae, Lawsonia intracellularis, multiplex PCR, prevalence, risk factor, Salmonella spp."
Evaluation of the hematological and serum protein profiles of blood parasite coinfection in naturally infected dogs,2021-12-01,"Blood parasites, Coinfection, Dogs, Hematology, Serum protein"
Successful treatment of demodicosis due to Demodex cati in a cat using spot - On formulation of fluralaner,2021-12-01,"cat, Demodex cati, demodicosis, fluralaner"
A seroepidemiological investigation on major viral and bacterial pathogens in small-scale chicken flocks in the Mekong delta region of Vietnam,2021-12-01,"bacterial pathogen, chicken, seroepidemiology, Vietnam, viral pathogen"
