Title,Author_count,subtype,Subject_area_count,Cite_count
Graphene oxide-alginate hydrogel-based indicator displacement assay integrated with diaper for non-invasive Alzheimer's disease screening,2,ar,3,0
"Rare coordination behavior of triethanolamine ligand in [Cu(H3tea)2](3,4-dimethoxycinnamate)2·2H2O: Synthesis, characterization, single crystal X-ray structure determination, Hirshfeld calculation and molecular docking studies",7,ar,4,0
Total ammonia nitrogen removal and microbial community dynamics in an outdoor HDPE-lined shrimp pond with no water discharge,8,ar,1,0
"Effects of microaeration and sludge recirculation on VFA and nitrogen removal, membrane fouling reduction and microbial community of the anaerobic baffled biofilm-membrane bioreactor in treating building wastewater",2,ar,4,0
"Bioaccumulation of heavy metals in commercially important marine species from Puducherry coast, Southeast India",8,ar,4,0
"A comprehensive review on Saraca asoca (Fabaceae) - Historical perspective, traditional uses, biological activities, and conservation",4,re,2,0
Potential natural antimicrobial and antibiofilm properties of Piper betle L. against Staphylococcus pseudintermedius and methicillin-resistant strains,6,ar,2,0
Rice straw-derived smoke water promotes rice root growth under phosphorus deficiency by modulating oxidative stress and photosynthetic gene expression,3,ar,1,0
Improving pharmaceutical analysis by incorporating green chemistry and smartphone technology: The assay for dissolution test of ethambutol tablets as an example,5,ar,4,0
Targeted sequencing analysis pipeline for species identification of human pathogenic fungi using long-read nanopore sequencing,8,ar,2,0
Responding to an unprecedented shock — Elucidating how 113 DMOs changed the marketing communications on Twitter during the COVID-19 crisis,2,ar,4,0
Calcium phosphate ceramic as a model for enamel substitute material in dental applications,9,ar,1,0
Matrices-charges of agar-alginate crosslinked microcapsules via o/w microemulsion: A non-spore forming probiotic bacteria encapsulation system for extensive viability,5,ar,3,0
Metal ion removal using a low-cost coconut shell activated carbon bioadsorbent in the recovery of lactic acid from the fermentation broth,4,ar,4,0
Deciphering migraine pain mechanisms through electrophysiological insights of trigeminal ganglion neurons,4,ar,1,0
Scale development to measure the patient perception of patient-centered care of dentists in primary care settings of Thailand: a measurement invariance test,3,ar,1,0
Long-term benefit of DAAs on gut dysbiosis and microbial translocation in HCV-infected patients with and without HIV coinfection,6,ar,1,0
"Methylene blue degradation under visible light of Au-DP25/PET and Cu-DP25/PET photocatalytic films, synthesized through two wet impregnation routes – An experimental and theoretical evaluation",8,ar,3,0
Sulfur metabolism in durian pulps: Factors contributing to the production of volatile sulfur compounds during fruit ripening,13,ar,3,0
Osteogenic induction of asiatic acid derivatives in human periodontal ligament stem cells,7,ar,1,0
A novel simplified method for extraction of microplastic particles from face scrub and laundry wastewater,2,ar,1,0
"Author Correction: Effect of plant produced Anti-hIL-6 receptor antibody blockade on pSTAT3 expression in human peripheral blood mononuclear cells (Scientific Reports, (2023), 13, 1, (11927), 10.1038/s41598-023-39106-5)",10,er,1,0
In vitro and in vivo studies of plant-produced Atezolizumab as a potential immunotherapeutic antibody,5,ar,1,0
"Separation of the Chlorofluorocarbon (CFC) CCl2F2 from N2 in NaY Zeolite, in MIL-127(Fe) and in the two Carbon Nanotubes CNT (9,9) and CNT (11,11)",7,ar,4,0
Label-free tumor cells classification using deep learning and high-content imaging,8,dp,6,0
Association between oral hypofunction and general health: a systematic review,2,ar,1,0
Neuroprotective effect of nose-to-brain delivery of Asiatic acid in solid lipid nanoparticles and its mechanisms against memory dysfunction induced by Amyloid Beta1-42 in mice,7,ar,1,0
