Title,cover_date,subject_area
Time-periodic quantum states of weakly interacting bosons in a harmonic trap,2020-12-30,PHYS
Mechanochemical reactions of MnO2 and graphite nanosheets as a durable zinc ion battery cathode,2020-12-30,"PHYS, PHYS, MATE"
Fabrication of molybdenum doped carbon nitride nanosheets for efficiently photocatalytic water splitting,2020-12-30,"ENGI, ENGI, MATE, MATE"
Near-room-temperature superconductivity of Mg/Ca substituted metal hexahydride under pressure,2020-12-30,"ENGI, ENGI, MATE, MATE"
Autophagy related protein 9A increase in hepatitis B virus-associated hepatocellular carcinoma and the role in apoptosis,2020-12-27,MEDI
Deterioration of Open-cell Aluminum Foam in Strong Sulfuric Acid,2020-12-22,"MATE, ENGI"
Preface and Welcome Speech (ICEIT 2020),2020-12-22,"MATE, ENGI"
Kinetic study for the co-pyrolysis of water hyacinth biomass with waste polystyrene,2020-12-22,"MATE, ENGI"
Multifunctional catalyst of Cu/ZnO and molecular sieve for low temperature CO2 conversion to methanol,2020-12-22,"MATE, ENGI"
Performance and cost analysis of hydrogen production from steam reforming and dehydrogenation of ethanol,2020-12-22,"MATE, ENGI"
Biomarker-guided preemption of steroid-refractory graft-versus-host disease with a-1-antitrypsin,2020-12-22,MEDI
Origins of Electrostriction in Poly(vinylidene fluoride)-Based Ferroelectric Polymers,2020-12-22,"CHEM, MATE, CHEM, MATE"
Spectral proper orthogonal decomposition analysis of the turbulent wake of a disk at Re = 50 000 SPECTRAL PROPER ORTHOGONAL DECOMPOSITION ... S. NIDHAN et al.,2020-12-21,"ENGI, MATH, CENG"
Generation of (: Z)-β-alkenyl alkylsulfones via a copper-catalyzed decarboxylative alkylsulfonylation,2020-12-21,CHEM
Nanofibrillation and characterization of sugarcane bagasse agro-waste using water-based steam explosion and high-pressure homogenization,2020-12-20,"ENER, ENVI, BUSI, ENGI"
Mitochondria and immunity in chronic fatigue syndrome,2020-12-20,"PHAR, NEUR"
Effects of pursed-lip breathing and forward trunk lean postures on total and compartmental lung volumes and ventilation in patients with mild to moderate chronic obstructive pulmonary disease: An observational study,2020-12-18,MEDI
Dark Matter of Primate Genomes: Satellite DNA Repeats and Their Evolutionary Dynamics,2020-12-18,BIOC
Biochemical and Structural Investigation of GnnA in the Lipopolysaccharide Biosynthesis Pathway of Acidithiobacillus ferrooxidans,2020-12-18,"BIOC, BIOC"
A global & environmental coral analysis system with spa-based semantic computing for integrating and visualizing ocean-phenomena with “5-dimensional world-map”,2020-12-16,COMP
A concept for control and program based on the semantic space model,2020-12-16,COMP
Characteristics evaluation of fluorescein sodium as fluorescent tracer for petroleum wells,2020-12-15,"ENVI, EART"
Syntheses and anti-HIV and human cluster of differentiation 4 (CD4) down-modulating potencies of pyridine-fused cyclotriazadisulfonamide (CADA) compounds,2020-12-15,"BIOC, BIOC, BIOC, PHAR, PHAR, BIOC, CHEM"
"Incidence, Persistence, and Factors Associated with HPV Infection among Male Adolescents with and Without Perinatally Acquired HIV Infection",2020-12-15,"MEDI, MEDI"
Bio-methanol production from oil palm residues: A thermodynamic analysis,2020-12-15,"ENER, ENER, ENER, ENER"
What matters in cost of debt: audit partner public-client specialization or busyness?,2020-12-15,"BUSI, BUSI, ECON"
Electrically controlled release of anticancer drug 5-fluorouracil from carboxymethyl cellulose hydrogels,2020-12-15,"BIOC, BIOC, BIOC, ECON, ENER"
Culturally relevant constructionist design: exploring the role of community in identity development,2020-12-15,"SOCI, COMP, SOCI"
Effect of amine types and temperature of a natural rubber based composite material on the carbon dioxide capture,2020-12-15,"CHEM, ENVI, CENG, ENGI"
Synergistic Effect of the Oleic Acid and Oleylamine Mixed-Liquid Matrix on Particle Size and Stability of Sputtered Metal Nanoparticles,2020-12-14,"CHEM, ENVI, CENG, ENER"
Understanding the Effects of Antecedents on Continuance Intention to Gather Food Safety Information on Websites,2020-12-11,PSYC
A Dual Approach in Direct Ink Writing of Thermally Cured Shape Memory Rubber Toughened Epoxy,2020-12-11,"MATE, CENG, CHEM"
An agile-stage-gate model for medical startups: A case study of a medical product startup in Thailand,2020-12-10,"BUSI, BUSI, BUSI, COMP, COMP, COMP, MEDI, SOCI"
Decision Support System for Power Plant Improvement Investment Using Life-Cycle Cost,2020-12-10,"COMP, COMP, COMP, DECI"
Observation of electroweak production of Wγ with two jets in proton-proton collisions at s=13 TeV,2020-12-10,PHYS
Quasars That Have Transitioned from Radio-quiet to Radio-loud on Decadal Timescales Revealed by VLASS and FIRST,2020-12-10,"PHYS, EART"
3HWC: The Third HAWC Catalog of Very-high-energy Gamma-Ray Sources,2020-12-10,"PHYS, EART"
Behavior of concrete confined with epoxy bonded fiber ropes under axial load,2020-12-10,"ENGI, ENGI, MATE"
"Willingness to pay for flood insurance: A case study in Phang Khon, Sakon Nakhon Province, Thailand",2020-12-09,"ENVI, EART"
Introducing raspberry Pi and its peripherals to a mechatronics course under COVID-19 Disruption,2020-12-08,"ENGI, ENGI, SOCI"
"Search for bottom-type, vectorlike quark pair production in a fully hadronic final state in proton-proton collisions at s =13 TeV",2020-12-07,PHYS
"2D Sequential Restoration and Basin Evolution of the Wichianburi Sub-basin, Phetchabun Basin, Central Thailand",2020-12-07,EART
Enhanced selective cytotoxicity of doxorubicin to breast cancer cells by methoxypolyethylene glycol conjugation via a novel beta-thiopropanamide linker,2020-12-05,"PHYS, MATE, CHEM, MATE"
