Title,cover_date,authkey_word
Identifying nursing research priorities in Vietnam: A modified delphi study†,2019-12-31,"Delphi method, nursing, research priorities, Vietnam"
Evaluation of the sciatic nerve location regarding its relationship to the piriformis muscle,2019-12-30,"Greater trochanter, Ischial tuberosity, Localisation, Piriformis muscle, Posterior superior iliac spine, Sciatic nerve"
Clinical outcomes and surgical preferences for breast-conserving surgery and mastectomy: A propensity score-matched analysis,2019-12-30,"breast-conserving surgery, mastectomy, retrospective study"
Common orthopedic problems in the neonate: A comparative study of 2 periods at a tertiary-care hospital,2019-12-30,"foot deformities, fracture, hip dysplasia, incidence, newborn"
Conservative surgical management for immediate postpartum hemorrhage,2019-12-30,"balloon occlusion, postpartum hemorrhage, uterine artery ligation, uterine compression suture"
Distinguishing magnetic resonance imaging features between idiopathic hypertrophic pachymeningitis and secondary hypertrophic pachymeningitis,2019-12-30,"dural inflammation, dural thickening, hypertrophic pachymeningitis, idiopathic hypertrophic pachymeningitis, thickened dura"
Transcriptome analysis of Pueraria candollei var. mirifica for gene discovery in the biosyntheses of isoflavones and miroestrol,2019-12-26,"Isoflavones, Miroestrol, Pueraria candollei var. mirifica, Transcriptome, White Kwao Krua"
Hybrid Monitoring of Surface Roughness and Straightness in CNC Turning of Aluminium using Neural Networks Approach,2019-12-21,"back propagation, cutting force ratio, neural networks, straightness, surface roughness"
Bacterial community structures and biodegradation kinetic of Tiamulin antibiotic degrading enriched consortia from swine wastewater,2019-12-21,"Degradation kinetic, Enrichment culture, Next generation sequencing, Swine farm, Tiamulin (TIA), Veterinary antibiotic substance"
"Impact of faculty development programme on self-efficacy, competency and attitude towards medical education in Bhutan: A mixed-methods study",2019-12-21,"Core competency, Health human resource, Health professional education, Residency training"
Formalizing railway network using hierarchical timed coloured petri nets,2019-12-20,"Formal Verification, Hierarchical Timed Coloured Petri Nets, Petri Nets, Railway Network Model"
Extracting structured data from unstructured text using conditional random field and jaccard similarity,2019-12-20,"Conditional Random Fields, Jaccard Similarity, Natural Language Processing, Text Similarity, Unstructured Text"
Pathways to parental anxiety: Effect of coping strategies for disruptive behaviors in children with attention deficit-hyperactivity disorder,2019-12-19,"attention deficit disorder with hyperactivity, disruptive behavior, parental anxiety"
Changes in protein patterns of Staphylococcus aureus and Escherichia coli by silver nanoparticles capped with poly (4-styrenesulfonic acid-co-maleic acid) polymer,2019-12-19,"Escherichia coli, nanomedicine, nanoparticles, proteomics, Staphylococcus aureus"
Survival outcomes of low-risk and intermediate-risk stage ib1 cervical cancer patients,2019-12-19,"prognostic, survival, uterine cervical neoplasms"
A somatic pik3ca p.h1047l mutation in a Thai patient with isolated macrodactyly: A case report,2019-12-19,"macrodactyly, mutation, PIK3CA"
Binder-free centimeter-long V2O5nanofibers on carbon cloth as cathode material for zinc-ion batteries,2019-12-19,"Aqueous electrolyte, Binder free, Carbon cloth, Nanofiber, Vanadium oxide, Zinc trifluoromethanesulfonate, Zinc-ion battery"
"A double masked randomised 4-week, placebo-controlled study in the USA, Thailand and Taiwan to compare the efficacy of oral valganciclovir and topical 2% ganciclovir in the treatment of cytomegalovirus anterior uveitis: Study protocol",2019-12-19,"cytomegalovirus, randomized clinical trial, uveitis"
Asiaticoside but not its aglycone exhibits neuritogenicity through TrkA receptor signaling: A bridge between ERK1/2-CREB and Akt-GSK3β/RhoA,2019-12-18,"asiatic acid, asiaticoside, neuritogenicity, TrkA receptor"
Performance of cytokine models in predicting SLE activity,2019-12-16,"Biomarker, Cytokines, Disease activity, Interleukin, Systemic lupus erythematosus"
Availability of emergency obstetric and newborn care services at public health facilities of Sindh province in Pakistan,2019-12-16,"Basic and comprehensive emergency obstetric and newborn care, Maternal health, Newborn care"
"The impact of National Health Insurance upon accessibility of health services and financial protection from catastrophic health expenditure: A case study of Savannakhet province, the Lao People's Democratic Republic",2019-12-16,"Accessibility to health services, catastrophic health expenditure, Community-Based Health Insurance, financial protection, health policy, health services, hospitalisation, Laos People's Democratic Republic, National Health Insurance"
Up-to-date review on the development of high performance rubber composites based on halloysite nanotube,2019-12-15,"Filler, Halloysite nanotube, Mechanical properties, Rubber"
Reduced Time to Suppression among Neonates with HIV Initiating Antiretroviral Therapy Within 7 Days after Birth,2019-12-15,"early treated, HIV, infants, neonates, newborns, viral load, viral suppression"
Dual Analysis of Loss to Follow-up for Perinatally HIV-Infected Adolescents Receiving Combination Antiretroviral Therapy in Asia,2019-12-15,"adolescent, HIV, loss to follow-up"
More than hemifacial spasm? A case of unilateral facial spasms with systematic review of red flags,2019-12-15,"Facial myokymia, Hemifacial spasm, Red flags, The Babinski-2 sign, Tonic spasms of facial muscles"
"Health risk assessment of airborne Cd, Cu, Ni and Pb for electronic waste dismantling workers in Buriram Province, Thailand",2019-12-15,"Cadmium, Copper, Electronic waste dismantling, Hazard quotient, Inhalation exposure, Lead, Lifetime cancer risk, Nickel"
Cultivation of microalgae Chlorella sp. in municipal sewage for biofuel production and utilization of biochar derived from residue for the conversion of hematite iron ore (Fe2O3) to iron (Fe) – Integrated algal biorefinery,2019-12-15,"Biodiesel, Metallic iron conversion, Microalgae Chlorella sp., municipal sewage, Seaweed Sargassum"
Ordered mesoporous Ni/La2O3 catalysts with interfacial synergism towards CO2 activation in dry reforming of methane,2019-12-15,"Bidentate carbonate, CO2activation, Mesoporous La2O3, Metal support interface, Monodentate carbonate"
Heterogeneous structural defects to prompt charge shuttle in g-C3N4 plane for boosting visible-light photocatalytic activity,2019-12-15,"Charge shuttle, g-C3N4, Heterogeneous structural defects, Hydrogen production, Photocatalyst"
Deactivation of the preferential oxidation of CO in packed bed reactor by 3D modelling and near-infrared tomography,2019-12-15,"3D modelling, Deactivation, Near-infrared imaging, Preferential oxidation of CO, Spatially resolved, Tomography"
