Title,cover_date,authkey_word
Time-periodic quantum states of weakly interacting bosons in a harmonic trap,2020-12-30,"Bose-Einstein condensates, Breathers, Matter waves, Nonlinear waves"
Mechanochemical reactions of MnO2 and graphite nanosheets as a durable zinc ion battery cathode,2020-12-30,"Ball milling, Graphite nanosheets, Hybrids, MnO2, Volume change, Zinc ion battery"
Fabrication of molybdenum doped carbon nitride nanosheets for efficiently photocatalytic water splitting,2020-12-30,"Carbon nitride, Doping, Hydrogen evolution, Nanosheet, Photocatalyst"
Near-room-temperature superconductivity of Mg/Ca substituted metal hexahydride under pressure,2020-12-30,"Alloys, High pressure, Metal hydride compounds, Mg/Ca, Near-room-temperature critical temperature, Superconductivity"
Autophagy related protein 9A increase in hepatitis B virus-associated hepatocellular carcinoma and the role in apoptosis,2020-12-27,"Apoptosis, Autophagy, Autophagy related protein 9A, HBx, Hepatitis B virus, Hepatocellular carcinoma"
Nanofibrillation and characterization of sugarcane bagasse agro-waste using water-based steam explosion and high-pressure homogenization,2020-12-20,"Cellulose nanofibers, High-pressure homogenizer, Mechanical defibrillation, Microfluidizer, Steam explosion, Sugarcane bagasse waste"
Mitochondria and immunity in chronic fatigue syndrome,2020-12-20,"Chronic fatigue syndrome, Circadian, Endogenous opioidergic system, Gut microbiome, Immune, Mitochondria, Pathophysiology, Treatment, Vagus nerve, Viral re-awakening"
Effects of pursed-lip breathing and forward trunk lean postures on total and compartmental lung volumes and ventilation in patients with mild to moderate chronic obstructive pulmonary disease: An observational study,2020-12-18,"chronic obstructive pulmonary disease, forward lean, optoelectronic plethysmography, pursed-lip breathing"
Dark Matter of Primate Genomes: Satellite DNA Repeats and Their Evolutionary Dynamics,2020-12-18,"alpha satellite, centromere, evolution, heterochromatin, non-human primates, tandem repeats"
A global & environmental coral analysis system with spa-based semantic computing for integrating and visualizing ocean-phenomena with “5-dimensional world-map”,2020-12-16,"5-Dimensional World Map System, Coral Analysis, Environmental Data Mining, Global Environmental Analysis, Semantic Computing, SPA"
A concept for control and program based on the semantic space model,2020-12-16,"Artificial intelligent, Semantic computation, Semantic space, Unmanned control"
