Title,Author_count,Open_access,Unique_affiliations_count,cite_count
Reduction of algal wall-growth biofilm for the cultivation of Chlorococcum in photobioreactors using commercial surfactants and floating plastic media,3,0,2,1
Dietary anthocyanins inhibit insulin fibril formation and cytotoxicity in 3T3-L1 preadipocytes,7,0,3,2
Metformin delivery via iontophoresis based on κ-carrageenan cryogels,6,0,3,5
Experimental investigations of CO2 absorption and catalyst-aided CO2 desorption performance of several different amines blending with a promoter,5,0,2,7
High-throughput screening of highly active and selective single-atom catalysts for ammonia synthesis on WB2 (0 0 1) surface,6,0,2,1
Electrodeposition of the manganese-doped nickel-phosphorus catalyst with enhanced hydrogen evolution reaction activity and durability,6,0,5,1
Novel strategy in biohydrogen energy production from COVID - 19 plastic waste: A critical review,6,1,6,13
Recent progress of electrocatalysts for hydrogen proton exchange membrane fuel cells,4,0,2,13
A Review of Packed Bed Reactor and Gradient-less Recycle Reactor for Determination of Intrinsic Reaction Kinetics,6,1,3,0
In the name of national security Thailand and the securitisation of the Rohingya,1,0,1,0
Herbal medicinal compounds and their anti-breast cancer actions: A mechanistic perspective,8,0,5,0
Immunogenicity of SARS-CoV-2 vaccines in patients with multiple myeloma: a systematic review and meta-analysis,23,1,12,4
"Evolutionary and Genetic Recombination Analyses of Coxsackievirus A6 Variants Associated with Hand, Foot, and Mouth Disease Outbreaks in Thailand between 2019 and 2022",8,1,3,1
Designing a Built-In Electric Field for Efficient Energy Electrocatalysis,8,0,2,25
"A pathway phenotype linking metabolic, immune, oxidative, and opioid pathways with comorbid depression, atherosclerosis, and unstable angina",5,0,5,7
Curcuminoid supplementation in canine diabetic mellitus and its complications using proteomic analysis,9,1,3,1
ONLINE VIDEO GAME INFLUENCER'S CREDIBILITY AND PURCHASE INTENTION Vjerodostojnost online influencera videoigara i namjera kupnje,2,1,1,1
"Boys for beauty (1999): Participatory mode, camp aesthetic, bentu discourse",1,,1,0
"Sending Money Back Home: Banking Digitalization, Myanmar Migrant Workers, and the Thailand-Myanmar Border Trade",1,,1,1
Geochemical characteristics of shale gas formation and the potential for carbon storage in Thailand: An example from the Triassic Huai Hin Lat Formation,4,1,1,1
Municipal solid waste sanitary and open landfills: Contrasting sources of microplastics and its fate in their respective treatment systems,4,0,2,7
Heuristic-Based Usability Evaluation Tool for Android Applications for Senior Citizens,2,0,1,0
Simultaneous colorimetric detection of nephrolithiasis biomarkers using a microfluidic paper-based analytical device,2,0,1,0
Effect of CoMo metal loading on H2 and CNTs production from biogas by integrative process,17,0,7,2
Synthesis of NiO/MgO/ZrO2 catalyst for syngas production from partial oxidation and dry reforming of biogas,10,0,6,2
Nuclear imaging for localization and surgical outcome prediction in epilepsy: A review of latest discoveries and future perspectives,2,1,2,0
cGAS deficiency enhances inflammasome activation in macrophages and inflammatory pathology in pristane-induced lupus,8,1,5,0
De Sitter Bubbles from Anti-de Sitter Fluctuations,3,2,5,1
Reference Database of Inner Retinal Layer Thickness and Thickness Asymmetry in Healthy Thai Adults as Measured by the Spectralis Spectral-Domain Optical Coherence Tomography,9,1,3,1
Prescreening MCI and Dementia Using Shank-Mounted IMU during TUG Task,16,0,3,0
Evaluation of machine learning models for load-carrying capacity assessment of semi-rigid steel structures,4,0,3,2
Carbon deposition influenced by gas concentration in a Ni/YSZ anode of an internal-reforming solid oxide fuel cell using a detector layer inside the anode,3,0,2,2
Study on the mechanism and kinetics of amine with steric hindrance absorbing CO2 in non-aqueous/aqueous solution,6,0,3,5
Twin boundaries boost the hydrogen evolution reaction on the solid solution of nickel and tungsten,8,0,5,2
Optimization of TiO2 coatings properties and photochemical Ag-functionalization: Implications on bioactivity and antibacterial activity,6,0,5,0
"Neuroprotective effects of a medium chain fatty acid, decanoic acid, isolated from H. leucospilota against Parkinsonism in C. elegans PD model",8,1,4,5
