Title,affliation_country
Graphene oxide-alginate hydrogel-based indicator displacement assay integrated with diaper for non-invasive Alzheimer's disease screening,Thailand
"Rare coordination behavior of triethanolamine ligand in [Cu(H3tea)2](3,4-dimethoxycinnamate)2·2H2O: Synthesis, characterization, single crystal X-ray structure determination, Hirshfeld calculation and molecular docking studies",India
Total ammonia nitrogen removal and microbial community dynamics in an outdoor HDPE-lined shrimp pond with no water discharge,Thailand
"Effects of microaeration and sludge recirculation on VFA and nitrogen removal, membrane fouling reduction and microbial community of the anaerobic baffled biofilm-membrane bioreactor in treating building wastewater",Thailand
"Bioaccumulation of heavy metals in commercially important marine species from Puducherry coast, Southeast India",India
"A comprehensive review on Saraca asoca (Fabaceae) - Historical perspective, traditional uses, biological activities, and conservation",Thailand
Potential natural antimicrobial and antibiofilm properties of Piper betle L. against Staphylococcus pseudintermedius and methicillin-resistant strains,Thailand
Rice straw-derived smoke water promotes rice root growth under phosphorus deficiency by modulating oxidative stress and photosynthetic gene expression,Thailand
Improving pharmaceutical analysis by incorporating green chemistry and smartphone technology: The assay for dissolution test of ethambutol tablets as an example,Thailand
Targeted sequencing analysis pipeline for species identification of human pathogenic fungi using long-read nanopore sequencing,Thailand
Responding to an unprecedented shock — Elucidating how 113 DMOs changed the marketing communications on Twitter during the COVID-19 crisis,Thailand
Calcium phosphate ceramic as a model for enamel substitute material in dental applications,Thailand
Matrices-charges of agar-alginate crosslinked microcapsules via o/w microemulsion: A non-spore forming probiotic bacteria encapsulation system for extensive viability,Thailand
Metal ion removal using a low-cost coconut shell activated carbon bioadsorbent in the recovery of lactic acid from the fermentation broth,Thailand
Deciphering migraine pain mechanisms through electrophysiological insights of trigeminal ganglion neurons,Thailand
Scale development to measure the patient perception of patient-centered care of dentists in primary care settings of Thailand: a measurement invariance test,Thailand
Long-term benefit of DAAs on gut dysbiosis and microbial translocation in HCV-infected patients with and without HIV coinfection,Thailand
"Methylene blue degradation under visible light of Au-DP25/PET and Cu-DP25/PET photocatalytic films, synthesized through two wet impregnation routes – An experimental and theoretical evaluation",Thailand
Sulfur metabolism in durian pulps: Factors contributing to the production of volatile sulfur compounds during fruit ripening,Thailand
Osteogenic induction of asiatic acid derivatives in human periodontal ligament stem cells,Thailand
A novel simplified method for extraction of microplastic particles from face scrub and laundry wastewater,Thailand
"Author Correction: Effect of plant produced Anti-hIL-6 receptor antibody blockade on pSTAT3 expression in human peripheral blood mononuclear cells (Scientific Reports, (2023), 13, 1, (11927), 10.1038/s41598-023-39106-5)",Thailand
In vitro and in vivo studies of plant-produced Atezolizumab as a potential immunotherapeutic antibody,Thailand
"Separation of the Chlorofluorocarbon (CFC) CCl2F2 from N2 in NaY Zeolite, in MIL-127(Fe) and in the two Carbon Nanotubes CNT (9,9) and CNT (11,11)",Thailand
Label-free tumor cells classification using deep learning and high-content imaging,Thailand
Association between oral hypofunction and general health: a systematic review,Thailand
Neuroprotective effect of nose-to-brain delivery of Asiatic acid in solid lipid nanoparticles and its mechanisms against memory dysfunction induced by Amyloid Beta1-42 in mice,Thailand
Bio-green synthesis of calcium acetate from oyster shell waste at low cost and reducing the emission of greenhouse gases,Thailand
Impact of late gadolinium-enhanced cardiac MRI on arrhythmic and mortality outcomes in nonischemic dilated cardiomyopathy: updated systematic review and meta-analysis,Thailand
"Pimobendan prevents cardiac dysfunction, mitigates cardiac mitochondrial dysfunction, and preserves myocyte ultrastructure in a rat model of mitral regurgitation",Thailand
"Correlations between histopathologic findings, serum biomarker levels, and clinical outcomes in Stevens–Johnson syndrome/toxic epidermal necrolysis (SJS/TEN)",Thailand
Undrained stability of braced excavations in clay considering the nonstationary random field of undrained shear strength,Thailand
Commercial scale production of Yamabushitake mushroom (Hericium erinaceus (Bull.) Pers. 1797) using rubber and bamboo sawdust substrates in tropical regions,Thailand
Development of eco-friendly antifungal and antibacterial adhesive derived from modified cassava starch waste/polyvinyl alcohol containing green synthesized nano-silver,Thailand
Effects of death anxiety and aggression on life satisfaction in the COVID-19 era: Comparisons between different generations and different socioeconomic statuses in Thailand,Thailand
Highly effective removal of perfluorooctanoic acid (PFOA) in water with DBD-plasma-enhanced rice husks,Thailand
Bifunctional mesoporous silica solid acids for transformation of glucose to 5-hydroxymethylfurfural,Thailand
The prevalence and economic burden of treatment-resistant depression in Thailand,Thailand
Development of Ni–Mo carbide catalyst for production of syngas and CNTs by dry reforming of biogas,Thailand
Quantitative microbial risk assessment of the gastrointestinal risks to swimmers at Southeast Asian urban beaches using site-specific and combined autochthonous and fecal bacteria exposure data,Thailand
"Immunogenicity of BNT162b2 in children 6 months to under 5 years of age with previous SARS-CoV-2 infection, in the era of Omicron predominance",Thailand
DFT insight into metals and ligands substitution effects on reactivity of phenoxy-imine catalysts for ethylene polymerization,Thailand
Design and development of a magnetic field-enabled platform for delivering polymer-coated iron oxide nanoparticles to breast cancer cells,Thailand
"After morning, phew! A knowledge, attitudes, and practices survey related to emergency oral contraception in Thai pharmacists",Thailand
Development of alantolactone-loaded zein and shellac nanoparticles for controlled release in simulated gastrointestinal digestion,China
How do prolonged anchorage-free lifetimes strengthen non-small-cell lung cancer cells to evade anoikis? – A link with altered cellular metabolomics,Thailand
Shape transformation of 4D printed edible insects triggered by thermal dehydration,Thailand
The effect of different hemostatic agents following dental extraction in patients under oral antithrombotic therapy: a network meta-analysis,Thailand
Seroprevalence of leptospirosis among blood donors in an endemic area,Thailand
A diverse ancestrally-matched reference panel increases genotype imputation accuracy in a underrepresented population,Thailand
Development of peptide nucleic acid-based bead array technology for Bacillus cereus detection,Thailand
Acceptability of telemedicine for follow up after contraceptive implant initiation at an obstetrics and gynecologic training center,Thailand
A facile and automated microfluidic electrochemical platform for the in-field speciation analysis of inorganic arsenic,Thailand
Neuroprotective compounds from marine invertebrates,Thailand
