Title,Author_count,subtype,Subject_area_count,Cite_count
Time-periodic quantum states of weakly interacting bosons in a harmonic trap,2,ar,1,6
Mechanochemical reactions of MnO2 and graphite nanosheets as a durable zinc ion battery cathode,8,ar,3,67
Fabrication of molybdenum doped carbon nitride nanosheets for efficiently photocatalytic water splitting,7,ar,4,11
Near-room-temperature superconductivity of Mg/Ca substituted metal hexahydride under pressure,4,ar,4,33
Autophagy related protein 9A increase in hepatitis B virus-associated hepatocellular carcinoma and the role in apoptosis,2,ar,1,1
Deterioration of Open-cell Aluminum Foam in Strong Sulfuric Acid,2,cp,2,0
Preface and Welcome Speech (ICEIT 2020),10,ed,2,0
Kinetic study for the co-pyrolysis of water hyacinth biomass with waste polystyrene,4,cp,2,1
Multifunctional catalyst of Cu/ZnO and molecular sieve for low temperature CO2 conversion to methanol,2,cp,2,0
Performance and cost analysis of hydrogen production from steam reforming and dehydrogenation of ethanol,2,cp,2,3
Biomarker-guided preemption of steroid-refractory graft-versus-host disease with a-1-antitrypsin,29,ar,1,18
Origins of Electrostriction in Poly(vinylidene fluoride)-Based Ferroelectric Polymers,8,ar,4,23
Spectral proper orthogonal decomposition analysis of the turbulent wake of a disk at Re = 50 000 SPECTRAL PROPER ORTHOGONAL DECOMPOSITION ... S. NIDHAN et al.,4,ar,3,13
Generation of (: Z)-β-alkenyl alkylsulfones via a copper-catalyzed decarboxylative alkylsulfonylation,3,ar,1,11
Nanofibrillation and characterization of sugarcane bagasse agro-waste using water-based steam explosion and high-pressure homogenization,2,ar,4,38
Mitochondria and immunity in chronic fatigue syndrome,2,re,2,30
Effects of pursed-lip breathing and forward trunk lean postures on total and compartmental lung volumes and ventilation in patients with mild to moderate chronic obstructive pulmonary disease: An observational study,7,ar,1,4
Dark Matter of Primate Genomes: Satellite DNA Repeats and Their Evolutionary Dynamics,7,re,1,23
Biochemical and Structural Investigation of GnnA in the Lipopolysaccharide Biosynthesis Pathway of Acidithiobacillus ferrooxidans,6,ar,2,8
A global & environmental coral analysis system with spa-based semantic computing for integrating and visualizing ocean-phenomena with “5-dimensional world-map”,5,cp,1,2
A concept for control and program based on the semantic space model,3,cp,1,2
Characteristics evaluation of fluorescein sodium as fluorescent tracer for petroleum wells,2,cp,2,0
Syntheses and anti-HIV and human cluster of differentiation 4 (CD4) down-modulating potencies of pyridine-fused cyclotriazadisulfonamide (CADA) compounds,9,ar,7,5
"Incidence, Persistence, and Factors Associated with HPV Infection among Male Adolescents with and Without Perinatally Acquired HIV Infection",11,cp,2,2
Bio-methanol production from oil palm residues: A thermodynamic analysis,3,ar,4,19
What matters in cost of debt: audit partner public-client specialization or busyness?,1,ar,3,2
Electrically controlled release of anticancer drug 5-fluorouracil from carboxymethyl cellulose hydrogels,3,ar,5,20
Culturally relevant constructionist design: exploring the role of community in identity development,2,ar,3,3
Effect of amine types and temperature of a natural rubber based composite material on the carbon dioxide capture,3,ar,4,6
Synergistic Effect of the Oleic Acid and Oleylamine Mixed-Liquid Matrix on Particle Size and Stability of Sputtered Metal Nanoparticles,7,ar,4,13
Understanding the Effects of Antecedents on Continuance Intention to Gather Food Safety Information on Websites,3,ar,1,13
A Dual Approach in Direct Ink Writing of Thermally Cured Shape Memory Rubber Toughened Epoxy,7,ar,3,23
An agile-stage-gate model for medical startups: A case study of a medical product startup in Thailand,3,cp,8,0
Decision Support System for Power Plant Improvement Investment Using Life-Cycle Cost,2,cp,4,0
Observation of electroweak production of Wγ with two jets in proton-proton collisions at s=13 TeV,2355,ar,1,28
