Title,cover_date,authkey_word
Reduction of algal wall-growth biofilm for the cultivation of Chlorococcum in photobioreactors using commercial surfactants and floating plastic media,2022-12-31,"Biofilm, Chlorococcum, Microalgae, Photobioreactor, Surfactant"
Dietary anthocyanins inhibit insulin fibril formation and cytotoxicity in 3T3-L1 preadipocytes,2022-12-31,"Anthocyanins, Cyanidin, Cytotoxicity, Insulin fibrils, Malvidin"
Metformin delivery via iontophoresis based on κ-carrageenan cryogels,2022-12-31,"Metformin, Transdermal drug delivery, κ-Carrageenan"
Experimental investigations of CO2 absorption and catalyst-aided CO2 desorption performance of several different amines blending with a promoter,2022-12-31,"Amine blends, Catalytic CO2 desorption, CO2 absorption, CO2 capture, Equilibrium CO2 solubility"
High-throughput screening of highly active and selective single-atom catalysts for ammonia synthesis on WB2 (0 0 1) surface,2022-12-30,"Electrocatalysis, High-throughput screening, Nitrogen reduction reaction, Single-atom catalysts, Tungsten diboride"
Electrodeposition of the manganese-doped nickel-phosphorus catalyst with enhanced hydrogen evolution reaction activity and durability,2022-12-30,"Electrodeposition, HER, Ni–Mn–P catalyst, Polyvalent manganese, Small coral-like structures"
Novel strategy in biohydrogen energy production from COVID - 19 plastic waste: A critical review,2022-12-30,"COVID-19 pandemic, Gasification, Hydrogen production, Plastic waste, Pyrolysis"
Recent progress of electrocatalysts for hydrogen proton exchange membrane fuel cells,2022-12-30,"Hydrogen oxidation, Membrane electrode assembly, Non-platinum catalyst, Oxygen reduction, Platinum catalyst, Proton exchange membrane"
A Review of Packed Bed Reactor and Gradient-less Recycle Reactor for Determination of Intrinsic Reaction Kinetics,2022-12-29,"Gradient-less recycle reactor, heat transfer, high-throughput experimentation, intrinsic kinetics, mass transfer, packed bed reactor"
"Evolutionary and Genetic Recombination Analyses of Coxsackievirus A6 Variants Associated with Hand, Foot, and Mouth Disease Outbreaks in Thailand between 2019 and 2022",2022-12-27,"complete genome sequencing, coxsackievirus A6, evolution, genetic recombination, hand, foot, and mouth disease"
Designing a Built-In Electric Field for Efficient Energy Electrocatalysis,2022-12-27,"built-in electric field, catalysis mechanism, energy electrocatalysis, heterointerface, hydrogen evolution reaction, oxygen vacancy, rechargeable metal batteries, work function"
"A pathway phenotype linking metabolic, immune, oxidative, and opioid pathways with comorbid depression, atherosclerosis, and unstable angina",2022-12-27,"atherogenicity, inflammation, major depression, neuroimmune, oxidative stress, Unstable angina"
Curcuminoid supplementation in canine diabetic mellitus and its complications using proteomic analysis,2022-12-23,"curcuminoids, diabetes mellitus, inflammation, oxidative stress, proteomic"
ONLINE VIDEO GAME INFLUENCER'S CREDIBILITY AND PURCHASE INTENTION Vjerodostojnost online influencera videoigara i namjera kupnje,2022-12-23,"attractiveness, expertise, purchase intentions, source credibility, trustworthiness"
"Sending Money Back Home: Banking Digitalization, Myanmar Migrant Workers, and the Thailand-Myanmar Border Trade",2022-12-22,"banking digitalization, informal remittance, Myanmar migrant workers in Thailand, Thailand-Myanmar border trade"
Geochemical characteristics of shale gas formation and the potential for carbon storage in Thailand: An example from the Triassic Huai Hin Lat Formation,2022-12-21,"biomarker, carbon storage, Khorat Plateau, shale gas, source rock"
Municipal solid waste sanitary and open landfills: Contrasting sources of microplastics and its fate in their respective treatment systems,2022-12-20,"Leachate, Microplastics, Open dumping, Sanitary landfill, Treatment system"
Heuristic-Based Usability Evaluation Tool for Android Applications for Senior Citizens,2022-12-19,"Android applications, Senior citizens, Usability, User interface design"
Effect of CoMo metal loading on H2 and CNTs production from biogas by integrative process,2022-12-19,"Biogas, Carbon nanotubes, CO2 methanation, Hydrogen, Integrative process"
Synthesis of NiO/MgO/ZrO2 catalyst for syngas production from partial oxidation and dry reforming of biogas,2022-12-19,"Biogas, Dry reforming, Partial oxidation, Syngas"
Nuclear imaging for localization and surgical outcome prediction in epilepsy: A review of latest discoveries and future perspectives,2022-12-16,"epilepsy, nuclear medicine, PET, presurgical localization, radiopharmaceuticals, SPECT, techniques"
cGAS deficiency enhances inflammasome activation in macrophages and inflammatory pathology in pristane-induced lupus,2022-12-16,"autoimmune, cGAS, dsDNA, inflammasomes, lupus, macrophages, non-canonical, STING"
Reference Database of Inner Retinal Layer Thickness and Thickness Asymmetry in Healthy Thai Adults as Measured by the Spectralis Spectral-Domain Optical Coherence Tomography,2022-12-16,"Inner retinal thickness, Posterior pole asymmetry, Reference database, Retinal thickness"
Prescreening MCI and Dementia Using Shank-Mounted IMU during TUG Task,2022-12-15,"Dementia (DEM), gait, inertial measurement unit (IMU), mild cognitive impairment (MCI), wearable device"
Evaluation of machine learning models for load-carrying capacity assessment of semi-rigid steel structures,2022-12-15,"Deep learning, Failure analysis, Machine learning, Semi-rigid steel connection, Tree-based ensemble method"
Carbon deposition influenced by gas concentration in a Ni/YSZ anode of an internal-reforming solid oxide fuel cell using a detector layer inside the anode,2022-12-15,"Anode, Carbon deposition, Internal methane reforming, Ni/YSZ, Solid oxide fuel cell"
Study on the mechanism and kinetics of amine with steric hindrance absorbing CO2 in non-aqueous/aqueous solution,2022-12-15,"13C NMR, Kinetics model, pKa, Steric hindrance, Zwitterion mechanism"
Twin boundaries boost the hydrogen evolution reaction on the solid solution of nickel and tungsten,2022-12-15,"Electrocatalyst, Electrodeposition, HER, NiW alloy, Twin boundaries"
Optimization of TiO2 coatings properties and photochemical Ag-functionalization: Implications on bioactivity and antibacterial activity,2022-12-14,"Biomaterial, Coating, Electrochemical synthesis, Microstructure, Nanostructure"
