Title,ref_count,Author_count,Subject_area_count,Unique_affiliations_count,Open_access,subtype,Cite_count
Time-periodic quantum states of weakly interacting bosons in a harmonic trap,40,2,1,2,1,ar,6
Mechanochemical reactions of MnO2 and graphite nanosheets as a durable zinc ion battery cathode,74,8,3,5,0,ar,67
Fabrication of molybdenum doped carbon nitride nanosheets for efficiently photocatalytic water splitting,44,7,4,2,0,ar,11
Near-room-temperature superconductivity of Mg/Ca substituted metal hexahydride under pressure,31,4,4,2,0,ar,33
Autophagy related protein 9A increase in hepatitis B virus-associated hepatocellular carcinoma and the role in apoptosis,7,2,1,2,1,ar,1
Deterioration of Open-cell Aluminum Foam in Strong Sulfuric Acid,8,2,2,2,1,cp,0
Preface and Welcome Speech (ICEIT 2020),,10,2,8,1,ed,0
Kinetic study for the co-pyrolysis of water hyacinth biomass with waste polystyrene,22,4,2,2,1,cp,1
Multifunctional catalyst of Cu/ZnO and molecular sieve for low temperature CO2 conversion to methanol,27,2,2,1,1,cp,0
Performance and cost analysis of hydrogen production from steam reforming and dehydrogenation of ethanol,21,2,2,1,1,cp,3
Biomarker-guided preemption of steroid-refractory graft-versus-host disease with a-1-antitrypsin,35,29,1,13,1,ar,18
Origins of Electrostriction in Poly(vinylidene fluoride)-Based Ferroelectric Polymers,48,8,4,5,2,ar,23
Spectral proper orthogonal decomposition analysis of the turbulent wake of a disk at Re = 50 000 SPECTRAL PROPER ORTHOGONAL DECOMPOSITION ... S. NIDHAN et al.,53,4,3,2,2,ar,13
Generation of (: Z)-β-alkenyl alkylsulfones via a copper-catalyzed decarboxylative alkylsulfonylation,84,3,1,3,0,ar,11
Nanofibrillation and characterization of sugarcane bagasse agro-waste using water-based steam explosion and high-pressure homogenization,69,2,4,1,0,ar,38
Mitochondria and immunity in chronic fatigue syndrome,266,2,2,4,0,re,30
Effects of pursed-lip breathing and forward trunk lean postures on total and compartmental lung volumes and ventilation in patients with mild to moderate chronic obstructive pulmonary disease: An observational study,30,7,1,4,1,ar,4
Dark Matter of Primate Genomes: Satellite DNA Repeats and Their Evolutionary Dynamics,,7,1,4,1,re,23
Biochemical and Structural Investigation of GnnA in the Lipopolysaccharide Biosynthesis Pathway of Acidithiobacillus ferrooxidans,48,6,2,2,0,ar,8
