Title,Author_count,subtype,Subject_area_count,Cite_count
Role of interventional procedures in channelopathies catheter ablation and sympathectomy,2,ch,1,0
Democratic Lagrangians for Nonlinear Electrodynamics,3,ar,1,9
Ontogeny and morphological diversity in immature mites (Part V) (Table of contents),3,ar,2,0
Ontogeny and morphological diversity in immature mites (Part V) (Title page),3,ar,2,4
Improved Development Cycle for 8-bit FPGA-Based Soft-Macros Targeting Complex Algorithms,2,ar,1,0
Dolutegravir as First- or Second-Line Treatment for HIV-1 Infection in Children,45,ar,1,41
Does proactive logistics management enhance business management? Czy proaktywne zarządzanie logistyką wzmacnia zarządzanie biznesem?,6,ar,3,0
Hedging stocks in crises and market downturns with gold and bonds: Industry analysis,1,ar,3,3
One-Step Hydrothermal Synthesis of Precious Metal-Doped Titanium Dioxide–Graphene Oxide Composites for Photocatalytic Conversion of CO2 to Ethanol,8,ar,2,8
Impact of the polar optical phonon and alloy scattering on the charge-carrier mobilities of FA0.83Cs0.17Pb(I1−xBrx)3hybrid perovskites,3,ar,2,1
Search for Long-Lived Particles Decaying in the CMS End Cap Muon Detectors in Proton-Proton Collisions at s =13 TeV,2361,ar,1,14
"Will There Ever Be Cure for Chronic, Life-Changing Colistin-Resistant Klebsiella pneumoniae in Urinary Tract Infection?",7,ar,1,3
"Bacterial diversity and potential risk factors associated with Salmonella contamination of seafood products sold in retail markets in Bangkok, Thailand",2,ar,3,6
Global Perspectives on Immunization Against SARS-CoV-2 During Pregnancy and Priorities for Future Research: An International Consensus Paper From the World Association of Infectious Diseases and Immunological Disorders,15,re,2,9
In Silico Elucidation of Potent Inhibitors and Rational Drug Design against SARS-CoV-2 Papain-like Protease,5,ar,3,11
Nutritional assessment in the HIV-infected older population receiving antiretroviral therapy,2,re,1,0
Reducing Heat Duty of MEA Regeneration Using a Sulfonic Acid-Functionalized Mesoporous MCM-41 Catalyst,8,ar,3,11
Lactide Lactone Chain Shuttling Copolymerization Mediated by an Aminobisphenolate Supported Aluminum Complex and Al(O iPr)3: Access to New Polylactide Based Block Copolymers,9,ar,4,8
Deep Learning Enables Prostate MRI Segmentation: A Large Cohort Evaluation With Inter-Rater Variability Analysis,8,ar,2,4
The Expansion of Lignocellulose Biomass Conversion Into Bioenergy via Nanobiotechnology,7,re,5,10
Occupational exposure to hazards and volatile organic compounds in small-scale plastic recycling plants in Thailand by integrating risk and life cycle assessment concepts,6,ar,4,5
"Organic carbon stock and composition in 3.5-m core mangrove soils (Trat, Thailand)",12,ar,4,8
Shared metabolic and neuroimmune mechanisms underlying Type 2 Diabetes Mellitus and Major Depressive Disorder,6,re,2,17
Translational evidence for the Inflammatory Response System (IRS)/Compensatory Immune Response System (CIRS) and neuroprogression theory of major depression,3,re,2,19
The Development of Architectural Education in Thailand under the ASEAN Community,5,ar,7,0
Liver- and Spleen-Specific Immune Responses in Experimental Leishmania martiniquensis Infection in BALB/c Mice,8,ar,1,1
Intermittent Fasting and Obesity-Related Health Outcomes: An Umbrella Review of Meta-analyses of Randomized Clinical Trials,9,ar,1,68
Tropical Pacific Forcing of Hydroclimate in the Source Area of the Yellow River,9,le,2,6
Determination of Kinetic Parameters for CO2 Methanation (Sabatier Reaction) over Ni/ZrO2 at a Stoichiometric Feed-Gas Composition under Elevated Pressure,10,ar,3,10
Brief Report: HCV Universal Test-and-Treat With Direct Acting Antivirals for Prisoners With or Without HIV: A Prison Health Care Workers-Led Model for HCV Microelimination in Thailand,9,ar,2,2
Pressure-induced isostructural clustering and semiconductor-to-semimetal transition in 2H-W(Se1−xTex)2 solid solutions: A first-principles investigation,1,ar,2,2
3D structural model and visualization of blood vessels based on L-system,2,ar,1,0
Injectable eggshell-derived hydroxyapatite-incorporated fibroin-alginate composite hydrogel for bone tissue engineering,6,ar,3,16
Enhancement of large ring cyclodextrin production using pretreated starch by glycogen debranching enzyme from Corynebacterium glutamicum,7,ar,3,6
Molecular insights into complex formation between scandenin and various types of β-cyclodextrin,6,ar,6,0
In-situ chemical modification of printed conducting polymer films for specific glucose biosensing,5,ar,7,2
Fouling mitigation in an anaerobic membrane bioreactor via membrane surface modification with tannic acid and copper,5,ar,3,11
Sintering behavior and mechanical properties of hydroxyapatite ceramics prepared from Nile Tilapia (Oreochromis niloticus) bone and commercial powder for biomedical applications,13,ar,5,8
Toward sustainable stormwater management: Understanding public appreciation and recognition of urban Low Impact Development (LID) in the San Francisco Bay Area,2,ar,3,26
Online and offline preconcentration techniques on paper-based analytical devices for ultrasensitive chemical and biochemical analysis: A review,3,re,4,16
Strongly coupled tungsten oxide/carbide heterogeneous hybrid for ultrastable aqueous rocking‐chair zinc-ion batteries,10,ar,4,29
Detection and identification of a fish pathogen Flavobacterium columnare using specific monoclonal antibodies,7,ar,1,8
Supporting Clean Energy in the ASEAN: Policy Opportunities from Sustainable Aviation Fuels Initiatives in Indonesia and Malaysia,10,cp,2,1
Lipid nanoparticles enhance the efficacy of mRNA and protein subunit vaccines by inducing robust T follicular helper cell and humoral responses,32,ar,3,145
Reliability Quantification of Railway Electrification Mast Structure Considering Buckling,3,ar,3,0
"Sprout Caffeoylquinic Acid Profiles as Affected by Variety, Cooking, and Storage",4,ar,3,0
Engineering of Battery Type Electrodes for High Performance Lithium Ion Hybrid Supercapacitors,6,re,2,5
Incorporation of diethyl ether production to existing bioethanol process: Techno-economic analysis,4,ar,5,3
Raman spectroscopy investigation of a manganese oxide layer caused by water corrosion on an IrMn thin film,7,ar,4,1
"DEVELOPMENT OF A DISASTER RISK PROFILE IN THE PUBLIC HEALTHCARE SYSTEM DURING FLOOD SITUATION: A CASE STUDY OF NAKHON SAWAN CITY MUNICIPALITY, NAKHON SAWAN PROVINCE, THAILAND",3,cp,9,0
The crest injection technique for glabellar line correction and the paracentral artery,3,ar,1,3
Molecularly imprinted polymers for the extraction and determination of water-soluble vitamins: A review from 2001 to 2020,2,re,4,4
Prevalence of pre-sarcopenia among postmenopausal women younger than 65 years,6,ar,1,1
Core slide defect reduction of PVC tape by Six Sigma approach,2,cp,4,0
"Immunogenicity, safety and reactogenicity of a heterogeneous booster following the CoronaVac inactivated SARS-CoV-2 vaccine in patients with SLE: A case series",6,ar,3,10
A comparison of students’ competencies of thai and international documents,2,ar,1,0
Development and testing of a metacognition scale using computer multimedia for nursing students: An application of multidimensional item response theory,3,ar,1,0
“Macbeth Effect”: The link between physical cleanliness and moral judgement,4,ar,1,1
Social returns on investment for doctor of philosophy program in educational measurement and evaluation,3,ar,1,1
Development of a process to change teachers’ misconceptions in using portfolio for elementary school student assessment,2,ar,1,0
“Everyone else does it”: Influence of colleagues’ cheating and psychological mechanisms on individuals’ cheating in an organization,3,ar,1,0
Vascularized Toe Joint Transfer for Hypoplastic Thumb Type IV,3,ar,2,0
"Identification of Key Genes in ‘Luang Pratahn’, Thai Salt-Tolerant Rice, Based on Time-Course Data and Weighted Co-expression Networks",7,ar,1,2
Patient perception and treatment convenience of dabigatran versus vitamin K antagonist when used for stroke prophylaxis in atrial fibrillation: Real-world Evaluation of Long-term Anticoagulant Treatment Experience (RE-LATE) study,9,ar,1,0
Modeling the determinants of English writing perfor-mance: Directions to interdisciplinary writing instruction,1,ar,3,0
"Clinical outcomes of pediatric COVID-19 in a tertiary care center in Bangkok, Thailand",6,ar,3,5
Genetic correlations between gestation length and litter traits of sows,2,ar,1,1
Calcinosis circumscripta associated with surgical site of the right femur in a Belgian sheepdog: Imaging diagnosis and surgical treatment,4,ar,1,0
"Potential risk factors for Brachyspira hyodysenteriae, Lawsonia intracellularis and Salmonella spp. infection and their prevalence in commercial swine farms in Thailand",7,ar,1,0
Evaluation of the hematological and serum protein profiles of blood parasite coinfection in naturally infected dogs,3,ar,1,2
Successful treatment of demodicosis due to Demodex cati in a cat using spot - On formulation of fluralaner,2,ar,1,0
A seroepidemiological investigation on major viral and bacterial pathogens in small-scale chicken flocks in the Mekong delta region of Vietnam,13,ar,1,0
Cardiovascular Risk and Health Among People With Human Immunodeficiency Virus (HIV) Eligible for Primary Prevention: Insights From the REPRIEVE Trial,21,ar,2,12
"Taxonomic Status of Fowlea tytleri (Blyth, 1863) from the Andaman Islands",3,ar,4,2
"Nesting Ecology and Reproducing Females of the Snail-eating Turtle, Malayemys macrocephala, in Paddy Fields in Central Plain of Thailand",3,ar,4,0
Environmental DNA signatures distinguish between tsunami and storm deposition in overwash sand,11,ar,2,8
Production of oil with increasing palmitoleic acid content by Cyberlindnera subsufficiens NG8.2 from oil palm empty fruit bunch via co-fermentation with cassava starch,2,ar,1,1
The origins of the Cold War in Southeast Asia: Pre-Second World War Siamese cooperation with foreign powers against communism,2,ar,3,0
Development of multiplex reverse transcription-polymerase chain reaction for differentiation of strains of infectious bursal disease virus and primary screening of the virus in Thailand,1,ar,1,1
Validation of Brix refractometer to estimate immunoglobulin G concentration in goat colostrum,5,ar,1,2
Deep margin elevation with resin composite and resin-modified glass-ionomer on marginal sealing of CAD-CAM ceramic inlays: An in vitro study,2,ar,1,2
What is the best systemic treatment for newly diagnosed inflammatory breast cancer?-a narrative review,3,re,1,2
FOURTH-ORDER STRAIN GRADIENT BAR-SUBSTRATE MODEL WITH NONLOCAL AND SURFACE EFFECTS FOR THE ANALYSIS OF NANOWIRES EMBEDDED IN SUBSTRATE MEDIA,6,ar,5,12
"Barriers and Challenges in Managing Hypertension in Belitung, Indonesia: A Qualitative Study",6,ar,3,1
Changes in Choroidal Vascularity Index (CVI) in Intermediate Uveitis,5,ar,2,7
Spiritual Care Needs of Terminal Ill Cancer Patients,3,ar,4,4
Effects of Complementary and Alternative Medicine on Chemotherapy Delivery in Thai Patients,6,ar,4,0
Measurement of the inclusive and differential t t¯ γ cross sections in the single-lepton channel and EFT interpretation at √s = 13 TeV,2361,ar,1,3
Probing effective field theory operators in the associated production of top quarks with a Z boson in multilepton final states at √s = 13 TeV,2358,ar,1,5
Erectile dysfunction among Thai patients with COVID-19 infection,5,ar,2,8
Therapeutic vaccine BRII-179 restores HBV-specific immune responses in patients with chronic HBV in a phase Ib/IIa study,25,ar,4,21
Research priorities for an HIV cure: International AIDS Society Global Scientific Strategy 2021,70,re,1,96
"Investigation of sulfonated solid acid catalysts derived from oil palm kernel shell, corncob, and diatomaceous earth for esterification of ethanol and propanoic acid, characterisation and their performance",5,ar,4,5
Chloride-induced corrosion of a galvanized steel-embedded calcium sulfoaluminate stucco system,4,ar,5,10
Quality Assessment of Mobile Cone-beam Computerized Tomography Scanner Made in Thailand: A Phantom Study,4,ar,1,0
Chemotherapy-Related Cerebral Venous Sinus Thrombosis in a Colon Cancer Patient Receiving Adjuvant Chemotherapy: Case Report and Literature Review,3,ar,1,0
Healthcare Resource Utilization and Healthcare Costs of COVID-19 Patients in A Tertiary Care Public Hospital: A Retrospective Cohort Study in Thailand,5,ar,1,1
Risk of HIV/STIs among Muslim army conscripts in the three deep southern provinces of Thailand,3,ar,3,2
The analgesic efficacy of anterior femoral cutaneous nerve block in combination with femoral triangle block in total knee arthroplasty: a randomized controlled trial,6,ar,1,3
The effects of active break and postural shift interventions on recovery from and recurrence of neck and low back pain in office workers: A 3-arm cluster-randomized controlled trial,3,ar,1,4
Global guideline for the diagnosis and management of the endemic mycoses: an initiative of the European Confederation of Medical Mycology in cooperation with the International Society for Human and Animal Mycology,39,re,1,55
Myositis Caused by Trachipleistophora hominis in a Person with Human Immunodeficiency Virus: The First Case in Thailand,5,ar,2,3
Mass Atrocities and Their Prevention,2,ar,1,6
"Inventory of Agroecological Practices as part of the ""Peasant to Peasant"" Methodology in Ceará: An instrument to decolonize a territory and (re)value peasant knowledge Inventário de Práticas Agroecológicas na Metodologia ""de Camponês/a a Camponês/a"" no Ceará: Um instrumento para descolonizar o território e (re)valorizar o conhecimento camponês",4,ar,2,2
Profiling the most elderly parkinson's disease patients: Does age or disease duration matter?,3,ar,1,3
Social principles of emancipatory agroecologies Principios sociales de las agroecologías emancipadoras,2,ar,2,4
"Agroecology and La Vía Campesina I. The symbolic and material construction of agroecology through ""peasant-to-peasant"" processes Agroecología y La Vía Campesina I. La construcción simbólica y material de la agroecología a través de los procesos de ""campesina(o) a campesina(o)""",5,ar,2,2
Bringing agroecology to scale: Key drivers and emblematic cases Ampliação da agroecologia: Principais impulsores e casos emblemáticos Masificación de la agroecología: Impulsores clave y casos emblemáticos,8,ar,2,0
Culicoides Latreille (Diptera: Ceratopogonidae) as potential vectors for Leishmania martiniquensis and Trypanosoma sp. in northern Thailand,7,ar,2,15
"Caffeine induces g0/g1 cell cycle arrest and inhibits migration through Integrin αv, β3, and FAK/AKT/c-MYC signaling pathway",5,ar,7,4
Zero Budget Natural Farming in India - From inception to institutionalization Agricultura natural de presupuesto cero en India - Desde su inicio hasta su institucionalización,2,ar,2,1
